car_id,model,price,depreciation,mileage,road_tax,deregistration_value,coe,curb_weight,power,features,accessories,descriptions,age_of_car,years_since_launch,transmission_Auto,transmission_Manual,number_of_owner_More than 6,types_Hatchback,types_Luxury Sedan,types_MPV,types_Mid-Sized Sedan,types_SUV,types_Sports Car,types_Stationwagon,types_Truck,types_Van
472,Jaguar XF 2.0A Prestige,117800.0,18130.0,60000.0,1210.0,63238.0,48005.0,1777.0,177.0,"Features 2L Turbocharged Engine With 246bhp,8 Spd Auto Transmission With Paddle Shifters,DRL,auto Headlights/wiper,keyless,auto Hold,traction Off,multi Control View specs of the Jaguar XF (2015)Features Inline 4 Turbocharged Engine, 8 Speed Auto Transmission, 240ps/ 340nm,RWD,paddle Shifters, Cruise Control, Keyless Start/entry. View specs of the Jaguar XF (2015)Features 2.0l turbocharged engine producing 237bhp and 340Nm torque paired with 8 speed sport auto transmission and all wheel drive. Century sprint in 7.5 s! View specs of the Jaguar XF (2015)","Accessories Sport Rims, Premium Leather Interior, 11.4"" Touch Screen Infotainment, Meridian Sound System, Memory Seats, 3D&360"" Camera With Park Assist And More.Accessories Bluetooth, Navigation, Retractable Side Mirrors, Driver Electric Memory Seat. Powered Tailgate, Meridian Sound System.Accessories Multi function steering, keyless, auto headlights/rain sensing wipers, reverse cam/sensors, 20"" sports rims w/ H&R lowering spring, meridian audio.","Description Latest Model! One And Only, Stunning Sport Jaguar XF For Sale, Wearnes Agent Warranties, New Design, A Lot Cool Features With This Car,ambient Lights, 3D Park Assist With 360"" Degree Camera, Premium Meridian Sound System, Superb Driving Feel And Comfortable Ineterior. Trade In Are Most Welcome, High Loan, High Trade In, Call Now.Description 1 Owner,Low Mileage Done Only 65,600Km,Full Agent Serviced,100% Loan And Balloon Scheme Available,Ex-Bankruptcy And Bad Credit Welcome,High Trade In.Description $0 Drive-away, full-loan available. Wearnes unit in immaculate state and ultra low mileage. Maintained with Wearnes during 5 year warranty period, and with specialist thereafter. Last servicing done 02/23. All wear & tear replaced for buyers peace of mind. Trade-in/consignment available. Contact us for a viewing appointment today from your Sgcm premium dealers of 2022 & 2023, Bavarian Marques!",5.060409478646753,6.0,1,0,0,0,1,0,0,0,0,0,0,0
473,Jaguar XF Diesel 2.0A,84800.0,17190.0,62500.0,1812.0,53430.0,51010.0,1672.0,132.0,"Features 2lit 4-Cylinder in-line 16-valve Turbocharged. Diesel (Euro V), Rear Wheel Drive. 8 Speed (A) Jaguar Sequential Shift. View specs of the Jaguar XF Diesel (2016-2017)","Accessories Leather upholstery, factory fitted infotainment system. Reverse camera, Bluetooth. Keyless entry, auto headlight, memory seat and more.","Description One owner, low mileage, full agent serviced. Rare racing green! Accident free, well maintained, showroom condition. View to believe! Trade in and loan package available. Call us now to find out more.",6.715203999194698,7.0,1,0,0,0,1,0,0,0,0,0,0,0
474,Jaguar XF Diesel 2.2A Luxury,62800.0,17990.0,109000.0,2096.0,47362.0,78001.0,1810.0,147.0,"Features 2.2L inline 4 engine paired with 8 speed automatic transmission, Rear wheel drive, max power at 190bhp, max 450 nm torque! 0-100 in just 8.5s! View sp View specs of the Jaguar XF (2013-2015)","Accessories Sports rims, electrical memory seats, smart keyless entry with smart keys, original reverse camera, paddle shifters, wood trimmings, Bluetooth/audio","Description Paintwork and leather might need to touch up. Engine and performance well maintained, no repairs needed and wears and tears all been done up. Worth for for short terms drive. Comes with warranty by Sgcarmart or MCC(India international insurance.",7.9809574238522325,9.0,1,0,0,0,1,0,0,0,0,0,0,0
475,Jaguar XJ 2.0A TSS Premium Luxury SWB Sunroof,133800.0,22780.0,99000.0,1212.0,88488.0,56340.0,1804.0,177.0,"Features 2.0 turbocharged, 237bhp, 8 speed automatic transmission, paddle shift, blind spot monitor, adaptive xenon headlamps. Meridian sound system View specs of the Jaguar XJ (2010-2019)","Accessories Electric tailgate, soft closing doors, keyless entry, ventilated and heated seats, climate controls, Panoramic roof, digital cockpit.",Description Wearnes Unit. Elegant Elegant metallic gunmetal mica in colour with london tan leather interior. Flawless Interior condition. Flexible loan available and trade ins are welcomed. Call us for more info!,6.446710848509767,7.0,1,0,0,0,1,0,0,0,0,0,0,0
476,Jaguar XJ 5.0A Premium Luxury LWB Sunroof ,92800.0,12440.0,130000.0,7168.0,26053.0,34935.0,1969.0,283.0,"Features Powerful 5.0L V8 Engine With 379BHP, 6 Speed Auto Transmission, Climate Control, Keyless Entry/Start/Stop. View specs of the Jaguar XJ (2010-2019)","Accessories Front And Rear Individual Sunroof, Premium Leather Seats, Reverse Camera, Reverse Sensors, Sport Rims.",Description Drive a Luxury car with low Depreciation! Only one unit in the current market. Well maintain and In good condition. Powerful V8 Engine. Come with a 3-year Gearbox & Engine warranty! High/Full loan available. Contact our salesperson for viewing Now!,12.479587560838535,13.0,1,0,0,0,1,0,0,0,0,0,0,0
477,Jeep Compass Limited 1.4A,113800.0,15150.0,38000.0,608.0,53556.0,40120.0,1683.0,125.0,"Features 1.4 Turbocharged Engine Producing 167bhp With 9 Speed Gearbox, Keyless Ignition, Electric Ventilated Seat And Built In Navigation. View specs of the Jeep Compass (2018-2020)Features 1.4 turbocharged engine producing 167bhp with 9 speed gearbox, keyless ignition, electric ventilated seat and built in navigation. View specs of the Jeep Compass (2018-2020)","Accessories Electric Tailgate, 360 Surround Sensors, Auto Tailgate, Multi Function Steering Wheel, Lane Keep Assist, 8.4"" Apple CarPlay, AndroidAccessories Leather upholstery, sports rims, 360 surround sensors, auto tailgate, multi function steering wheel and audio system with Bluetooth connectivity.","Description Single Owner, Low Mileage, Fully Serviced And Very Well Maintained By Agent. Comes With 5 Years Agent Warranty. Powerful And Beautiful Driving Condition. Bank Or In House Loan Available. Purchased With Assurance From Henly Enterprises, Well Established Since 1972. Call Us For Your Viewings Appointment, Thank You.Description Pristine condition! Agent unit! Full serviced at Jeep service centre! Park under shelter all day! 100% loan available from 2.28% P.A! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!",3.7590396156330543,5.0,1,0,0,0,0,0,0,1,0,0,0,0
478,Jeep Renegade Limited 1.4A,106800.0,14700.0,57686.5,608.0,46718.0,45155.0,1395.0,103.0,"Features 4 cylinder inline 16V SOHC turbocharged engine, 138bhp, 6 speed automatic transmission, front wheel drive, SRS airbags. View specs of the Jeep Renegade (2017-2021)Features Powered by 4 cylinder, 16 valve turbocharged engine producing 138bhp. 6 speed auto transmission, front wheel drive. View specs of the Jeep Renegade (2017-2021)","Accessories Multi function steering wheel. Uconnect. Rain sensing wipers. Cruise control. Lane departure warning system, blind spot monitoring. Reverse camera.Accessories Sport rims, leather seats, multi function steering wheel, Bluetooth, cruise control, electric park brake, reverse camera, blind spot assist, lanesense","Description 1 owner only! Lowest mileage in market. Rare unit! Fully Agent serviced & maintained by Jeep Singapore, come with free servicing! 100% no additional repairs. Huge savings vs brand new! High loan and bank loan! Competitive interest rate and trade-in! Viewing by appointment only!Description 1 owner! Fully agent serviced! 2 more free servicing to go with! Warranty till Dec 2024! Powerful yet fuel efficient drive. Rugged yet modern design! Compact size perfect for city driving! Immediate ownership transfer! Easy and flexible loan available! Welcome to view! Call or WhatsApp for more details.",3.6193135882357943,5.0,1,0,0,0,0,0,0,1,0,0,0,0
479,Jeep Wrangler Unlimited,163800.0,28910.0,85000.0,3036.0,69469.0,57414.0,2253.0,147.0,"Features Powered by 2.8L 4 cylinder diesel engine producing 200bhp, 460nm torque, 5 speed auto transmission, AWD, airbags, 85l fuel tank, 4 doors, 5 seater.","Accessories Converted hard top with soft top still available, upgraded rims, spotlights, side steps, roof racks, Android headunit, reverse camera/sensors.","Description One and only Jeep Wrangler Unlimited up for sale! Rare and hard to come by such a nicely done up unit. Quality modifications with no expenses spared. Superb off road capability, while still able to be driven daily. Owner only uses it locally, never done any off road events. Perfect paintwork! Loan and trade in available, ready for viewing! Let your presence be felt while driving it!",5.405614958098807,6.0,1,0,0,0,0,0,0,1,0,0,0,0
480,Kia Carens Diesel 1.7A,65900.0,14530.0,92500.0,1318.0,34653.0,53300.0,1525.0,104.0,"Features 1.7L CRDI Engine, 136Bhp, 7 speed automatic with eco mode, auto headlights/rain sensor, keyless start/stop/entry. View specs of the Kia Carens Diesel (2016-2018)Features 1.7L CRDI Engine, 139bhp, 7 Speed Automatic With Eco Mode, ABS, Airbags, Cruise Control, Auto Headlights/rain Sensors, Keyless Entry/start/stop. View specs of the Kia Carens Diesel (2016-2018)Features 1.7l CRDI engine, 139 Bhp, 7 speed automatic with eco mode, ABS, airbags, cruise control, auto headlights/rain sensors, keyless entry/start/stop. View specs of the Kia Carens (2015-2016)Features 1.7L CRDI Engine, 139bhp, 7 Speed Automatic With Eco Mode, ABS, Airbags, Cruise Control, Auto Headlights/rain Sensors, Keyless Entry/start/stop. View specs of the Kia Carens Diesel (2016-2018)","Accessories Multi function steering wheel, rain sensors, fold up tray, auto headlight, keyless push start, rear aircon, leather upholstery.Accessories Multi Function Steering Wheel, Rain Sensors, Fold Up Tray, Auto Headlights, Keyless Push/start, Rear Aircon, Premium Leather Upholstery.Accessories Multi function steering, auto headlights, rain sensing wiper, reverse camera with sensors, matching color leather seats, rear aircon.Accessories Multi Function Steering Wheel, Rain Sensors, Fold Up Tray, Auto Headlights, Keyless Push/start, Rear Aircon, Leather Upholstery.","Description 1 Owner. New Road Tax.most popular 7 seater diesel MPV. High Loan And Trade In Your Car!Description Most Popular 7-Seater Diesel MPV. Well Maintained Interior & Exterior. No Repairs Needed. Contact Us Now For A Non Obligation Viewing/Test Drive Now!Description Lucky prosperity number XX88, well maintained and regularly serviced by previous owner, our in-house garage has done a 120 points check. Wear and tear parts replaced. Accident free, STA evaluation welcome, high trade-in, hassle-free bank/in-house financing available at competitive rates to suit individual needs. Hurry, call us today to arrange for an appointment to view and test drive the car.Description $4988 Drive Away Or Balloon Scheme Monthly $965, 1 Owner Only, 7 Seater Diesel MPV, Spacious Cabin For 7 Passengers, 100% In House Loan/bank Loan Available, Call Now And Arrange Viewing.",6.069998519742644,6.5,1,0,0,0,0,1,1,0,0,0,0,0
481,Kia Cerato 1.6A EX,84888.0,13300.0,33127.0,738.0,24056.0,23568.0,1287.0,93.8,"Features CARRO Certified Pre-Owned - No Mileage Tampering, Major Accident, Fire & Flood Damage. View specs of the Kia Cerato (2018-2021)Features CARRO Certified Pre-Owned - No Mileage Tampering, Major Accident, Fire & Flood Damage. View specs of the Kia Cerato (2018-2021)Features 1.6L powerful 4 cylinders inline 16 valve DOHC dual CVVT engine, 6 speed auto transmission,keyless entry/start/stop,cruise control, retractable mirror View specs of the Kia Cerato (2018-2021)","Accessories All our vehicles have undergone a rigorous 160-point inspection, and comes with 12 Months Engine & Gearbox Warranty and 5-Day Money Back Guarantee.Accessories All our vehicles have undergone a rigorous 160-point inspection, and comes with 12 Months Engine & Gearbox Warranty and 5-Day Money Back Guarantee.Accessories Leather seats, sports rims, factory audio player with Carplay and Android auto, reverse camera/sensors, dashcam, solar film.","Description Consignment Unit - Viewing by appointment basis only.Description Consignment Unit - Viewing by appointment basis only.Description 1 owner unit, ex model with keyless and retractable mirror, maintained and warranty by C&C, good condition and very well kept interior and exterior, flexible loan, please call or WhatsApp for viewing.",4.1426012594686705,5.0,1,0,0,0,0,0,1,0,0,0,0,0
