model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Honda Shuttle Hybrid 1.5A,73800,15170,2017-12-28,2017,53123,682,Auto,30410,21120,57501,5000,1496,101,1190,Stationwagon,AVAIL,2023-04-12,2023-04-17,HONDA
BMW X6 xDrive35i Sunroof,145800,28400,2016-09-20,2016,130000,2362,Auto,82829,69405,58201,96929,2979,225,2025,SUV,AVAIL,2023-04-07,2023-04-07,BMW
Honda Odyssey 2.4A (COE till 02/2029),71800,12220,2009-03-12,2008,158000,2442,Auto,18757,33248,31933,33248,2354,132,1680,MPV,AVAIL,2023-04-17,2023-04-17,HONDA
Honda Civic 1.6A VTi (COE till 09/2030),74888,10040,2010-11-04,2009,158955,962,Auto,24723,22950,33140,22950,1595,92,1220,Mid-Sized Sedan,AVAIL,2023-04-17,2023-04-17,HONDA
Toyota Corolla Altis Hybrid 1.8A Elegance,152800,17760,2021-05-27,2021,31898,976,Auto,60240,28935,58089,17509,1798,90,1410,Mid-Sized Sedan,AVAIL,2023-03-27,2023-04-17,TOYOTA
Volvo S80 T5,70494,12879,2016-04-12,2016,118169,1176,Auto,34637,25596,46502,27835,1969,180,1672,Luxury Sedan,SOLD,2023-03-26,2023-03-31,VOLVO
Mercedes-Benz CLA-Class CLA180,69000,20230,2016-01-20,2015,86300,740,Auto,31199,28034,56001,26248,1595,90,1430,Luxury Sedan,AVAIL,2023-03-30,2023-04-06,MERCEDES-BENZ
Toyota Sienta Hybrid 1.5A X,115800,14320,2020-10-08,2019,63928,682,Auto,40371,25291,36534,17408,1496,73,1380,MPV,AVAIL,2023-04-03,2023-04-03,TOYOTA
MINI Cooper 1.5A 5DR Seven Edition,86988,18490,2017-07-05,2017,98000,684,Auto,33768,25768,50110,18076,1499,100,1175,Hatchback,AVAIL,2023-04-12,2023-04-17,MINI
Honda Freed 1.5A G,109800,14840,2019-11-04,2018,30000,682,Auto,40005,23657,32309,25120,1496,96,1360,MPV,AVAIL,2023-04-08,2023-04-08,HONDA
Hyundai Avante 1.6A Elite Sunroof,93061,11581,2021-04-17,2021,51410,742,Auto,40611,21495,44589,7093,1598,91,1280,Mid-Sized Sedan,SOLD,2023-04-02,2023-04-11,HYUNDAI
Honda Civic 1.8A VTi-S,128500,13330,2021-10-14,2019,38000,978,Auto,80835,27446,68310,30425,1799,104,1261,Mid-Sized Sedan,AVAIL,2023-04-08,2023-04-08,HONDA
Mitsubishi Lancer EX 1.6A Sports,54848,13182,2015-04-22,2015,85576,738,Auto,13404,11584,62002,11584,1590,86,1289,Mid-Sized Sedan,SOLD,2023-03-27,2023-03-29,MITSUBISHI
BMW 5 Series 520i Sport,175800,23110,2019-06-27,2019,88000,1210,Auto,71138,51775,35906,65195,1998,135,1530,Luxury Sedan,AVAIL,2023-04-10,2023-04-10,BMW
Suzuki Every Turbo,62800,7870,2021-04-09,2021,31000,449,Auto,18701,16645,23432,833,658,65,900,Van,AVAIL,2023-04-14,2023-04-14,SUZUKI
BMW X3 xDrive30i xLine,259800,26240,2021-11-24,2021,17070,1210,Auto,106096,53242,72756,67836,1998,185,1755,SUV,AVAIL,2023-04-09,2023-04-17,BMW
Honda Odyssey Hybrid 2.0A e-HEV Absolute,190728,19207,2022-08-12,2021,47044,1204,Auto,108802,46097,91112,41536,1993,242,1890,MPV,SOLD,2023-04-05,2023-04-14,HONDA
MINI Cooper S Cabriolet 2.0A,165515,20200,2020-09-29,2019,28204,1210,Auto,61355,37137,41510,43992,1998,141,1315,Sports Car,SOLD,2023-04-05,2023-04-05,MINI
BMW 1 Series 116i Luxury,136800,14140,2021-08-19,2021,7900,684,Auto,67236,32653,46689,37715,1499,80,1340,Hatchback,AVAIL,2023-04-14,2023-04-14,BMW
Hyundai Tucson 2.0A GLS,74800,15320,2017-07-27,2017,93000,1212,Auto,34294,18565,49802,18565,1999,114,1540,SUV,AVAIL,2023-04-14,2023-04-14,HYUNDAI
Mercedes-Benz GLA-Class GLA180 Progressive,193988,19240,2022-05-24,2022,5550,586,Auto,90002,32469,68001,37457,1332,96,1480,SUV,AVAIL,2023-03-29,2023-04-03,MERCEDES-BENZ
Fiat Fiorino Cargo 1.3MTA Multijet Glaze,45800,7780,2019-03-05,2017,44700,385,Manual,15839,23974,26914,1199,1248,77,1240,Van,AVAIL,2023-04-13,2023-04-17,FIAT
Mercedes-Benz GLC-Class GLC250 4MATIC,134800,26510,2017-05-12,2017,63000,1202,Auto,59403,44216,53300,53903,1991,155,1735,SUV,AVAIL,2023-04-07,2023-04-13,MERCEDES-BENZ
Honda CR-V 2.0A (COE till 11/2023),21945,14004,2008-11-20,2008,123059,1815,Auto,5301,24885,16061,24885,1997,110,1540,SUV,SOLD,2023-03-31,2023-04-11,HONDA
BMW 3 Series 318i,72500,17050,2016-09-13,2016,105000,684,Auto,38135,29860,57002,28804,1499,100,1425,Luxury Sedan,AVAIL,2023-04-08,2023-04-10,BMW
BMW 1 Series 116d,45800,15920,2015-10-27,2015,81267,1082,Auto,20669,24356,55399,11099,1496,85,1350,Hatchback,AVAIL,2023-04-16,2023-04-16,BMW
Toyota Camry 2.0A,97282,17346,2016-08-16,2016,92909,1210,Auto,38072,28695,57501,32173,1998,123,1480,Luxury Sedan,SOLD,2023-03-24,2023-03-27,TOYOTA
SEAT Leon 1.4A TSI FR,97800,13880,2019-07-29,2018,44479,624,Auto,40644,20846,39406,21185,1395,110,1263,Hatchback,AVAIL,2023-04-04,2023-04-17,SEAT
Infiniti QX80 5.6A,159999,33610,2016-08-04,2016,56000,6378,Auto,82983,70163,58201,98294,5552,298,2815,SUV,AVAIL,2023-04-03,2023-04-09,INFINITI
Nissan Qashqai 1.2A DIG-T Premium,38500,13750,2015-07-31,2015,120000,508,Auto,21221,19084,55889,14084,1197,85,1285,SUV,AVAIL,2023-03-30,2023-03-30,NISSAN
BMW X3 sDrive20i M-Sport,155776,20538,2018-10-24,2018,56953,1210,Auto,58565,42657,31301,51720,1998,135,1660,SUV,SOLD,2023-04-01,2023-04-02,BMW
Honda Fit 1.3A G (COE till 05/2024),57576,11362,2009-05-28,2009,100990,826,Auto,3571,13745,13943,8521,1339,73,1010,Hatchback,SOLD,2023-04-10,2023-04-13,HONDA
