model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Volkswagen Golf 1.4A TSI,110536,11290,2013-09-13,2013,21519,624,Auto,77243,20925,75556,6295,1395,90,1249,Hatchback,SOLD,2023-03-28,2023-03-29,VOLKSWAGEN
Porsche Cayenne Hybrid S 3.0A (COE till 09/2030),148000,19840,2011-08-29,2011,115445,2856,Auto,26062,119279,34935,71568,2995,245,2315,SUV,AVAIL,2023-04-14,2023-04-14,PORSCHE
BMW 7 Series 730Li (COE till 03/2028),69800,14190,2008-03-17,2007,156826,3573,Auto,22129,87472,44998,87472,2996,190,1910,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,BMW
BMW i4 Gran Coupe Electric eDrive40 M-Sport,298800,29940,2022-07-25,2022,13900,3398,Auto,122900,63983,98389,42170,2183,250,2050,Luxury Sedan,AVAIL,2023-04-15,2023-04-17,BMW
Toyota Fortuner 2.7A (COE till 05/2026),46800,14980,2006-11-01,2006,172525,3042,Auto,14369,28122,46048,30935,2694,118,1815,SUV,AVAIL,2023-04-11,2023-04-16,TOYOTA
BMW 3 Series 335i Convertible (COE till 12/2028),83800,14770,2008-12-18,2008,118000,3543,Auto,17894,66634,31553,66634,2979,225,1825,Sports Car,AVAIL,2023-04-10,2023-04-17,BMW
Mercedes-Benz GLC-Class GLC250 4MATIC,165800,23480,2019-03-20,2018,39000,1202,Auto,60949,43780,35403,53292,1991,155,1735,SUV,AVAIL,2023-04-14,2023-04-14,MERCEDES-BENZ
Audi A6 1.8A TFSI S-tronic,56800,18550,2015-04-30,2015,147248,976,Auto,38685,40069,79500,38097,1798,140,1645,Luxury Sedan,AVAIL,2023-03-29,2023-04-17,AUDI
BMW 6 Series 640i Coupe Sunroof (COE till 07/2031),139800,16860,2012-03-02,2011,110000,2834,Auto,48047,77746,57955,77746,2979,235,1660,Sports Car,AVAIL,2023-04-05,2023-04-11,BMW
Volkswagen Golf 1.4A TSI EQP Sunroof (New 10-yr COE),35800,3580,2014-11-26,2014,118000,624,Auto,26813,22706,66388,8789,1395,90,1249,Hatchback,AVAIL,2023-04-11,2023-04-13,VOLKSWAGEN
Honda Civic 2.0A (COE till 08/2028),66600,12380,2008-10-22,2008,210000,1815,Auto,18809,24243,34991,24243,1998,114,1312,Mid-Sized Sedan,AVAIL,2023-04-06,2023-04-15,HONDA
Toyota FJ Cruiser,119800,66080,2014-10-16,2014,74242,3880,Auto,33581,35385,72003,41539,3955,203,1950,SUV,AVAIL,2023-04-03,2023-04-03,TOYOTA
BMW 1 Series 116i M-Sport,110909,16313,2022-09-30,2022,67403,684,Auto,64359,33280,84000,38592,1499,80,1340,Hatchback,SOLD,2023-03-28,2023-04-05,BMW
Mercedes-Benz SLC-Class SLC180 AMG Line,133888,26400,2017-01-12,2016,99688,740,Auto,66801,54620,56410,70316,1595,115,1435,Sports Car,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
BMW 5 Series 520i Highline,128613,28158,2015-06-26,2014,154558,1210,Auto,35068,39215,78001,41901,1997,135,1615,Luxury Sedan,SOLD,2023-03-31,2023-04-03,BMW
Toyota Estima 2.4A Aeras Premium Moonroof,114987,18741,2015-05-06,2015,76823,1638,Auto,40630,30277,78001,34388,2362,125,1790,MPV,SOLD,2023-04-01,2023-04-07,TOYOTA
Citroen C3 Aircross 1.2A PureTech Shine,97635,15633,2018-04-05,2017,73360,508,Auto,35546,19898,38830,19898,1199,81,1203,SUV,SOLD,2023-03-31,2023-04-03,CITROEN
BMW 7 Series 730Li Sunroof,205800,28200,2018-05-23,2018,73500,1210,Auto,112557,84390,38501,123902,1998,190,1720,Luxury Sedan,AVAIL,2023-03-26,2023-04-10,BMW
Audi A5 Sportback 1.8A TFSI MU,72888,17590,2015-12-17,2015,96580,976,Auto,47131,42781,60001,51894,1798,125,1600,Sports Car,AVAIL,2023-04-07,2023-04-16,AUDI
Porsche Macan 2.0A PDK,269800,34050,2019-11-22,2019,92000,1194,Auto,93641,65510,39700,89918,1984,185,1795,SUV,AVAIL,2023-04-12,2023-04-12,PORSCHE
Citroen C4 Picasso Diesel 1.6A,52300,13930,2016-09-21,2016,98500,1144,Auto,24150,22863,53334,9009,1560,88,1320,Hatchback,AVAIL,2023-04-16,2023-04-16,CITROEN
Volkswagen Jetta GP 1.4A TSI Highline,88970,15453,2016-05-11,2015,92834,620,Auto,36936,20867,47889,21214,1390,90,1417,Mid-Sized Sedan,SOLD,2023-04-04,2023-04-06,VOLKSWAGEN
Honda Civic 1.6A VTi,90000,14350,2018-11-01,2018,75000,742,Auto,31415,20612,28457,20857,1597,92,1249,Mid-Sized Sedan,AVAIL,2023-04-08,2023-04-08,HONDA
Nissan Qashqai 1.2A DIG-T Premium,43888,13910,2015-12-18,2015,118885,508,Auto,23886,18454,59200,13454,1197,85,1285,SUV,AVAIL,2023-04-14,2023-04-14,NISSAN
Mercedes-Benz GLC-Class GLC300 Coupe Mild Hybrid AMG Line Premium Plus,272800,27020,2021-10-08,2021,34000,1202,Auto,123464,64118,68310,87413,1991,200,1825,SUV,AVAIL,2023-04-10,2023-04-16,MERCEDES-BENZ
Hyundai Avante 1.6A GLS Elite,92800,12520,2019-12-24,2019,48197,738,Auto,35559,18073,32889,18073,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-17,HYUNDAI
Mazda 2 HB 1.5A,42800,17110,2015-08-19,2015,100000,682,Auto,17042,15513,58700,5513,1496,85,1036,Hatchback,AVAIL,2023-04-13,2023-04-13,MAZDA
Ferrari 458 Italia (COE till 07/2032),598800,64420,2013-05-23,2013,39888,4728,Auto,90307,357888,97176,357888,4497,416,1515,Sports Car,AVAIL,2023-04-11,2023-04-13,FERRARI
Mercedes-Benz E-Class E250 CGI Avantgarde (COE till 12/2029),83000,12370,2010-01-28,2009,143000,1364,Auto,26377,55060,39313,55060,1796,150,1650,Luxury Sedan,AVAIL,2023-03-30,2023-04-05,MERCEDES-BENZ
Mercedes-Benz A-Class A180 SE,119700,16970,2019-06-28,2018,50000,586,Auto,46116,26411,41000,28976,1332,100,1365,Hatchback,AVAIL,2023-04-02,2023-04-05,MERCEDES-BENZ
Citroen C5 Aircross 1.6A PureTech EAT8 Shine,77474,15421,2021-01-13,2020,74968,742,Auto,37048,26127,49300,28578,1598,133,1430,SUV,SOLD,2023-04-01,2023-04-12,CITROEN
Lexus IS250 Luxury (COE till 12/2026),48800,13320,2006-12-15,2006,115000,2700,Auto,20215,40967,55187,45064,2500,153,1625,Luxury Sedan,AVAIL,2023-04-17,2023-04-17,LEXUS
BMW 2 Series 216i Active Tourer,136800,14570,2021-06-15,2021,25000,684,Auto,66320,31169,48510,35637,1499,80,1380,Hatchback,AVAIL,2023-04-13,2023-04-13,BMW
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,117000,17680,2018-11-15,2018,41900,740,Auto,45295,31837,31997,36572,1595,90,1430,Stationwagon,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
Volkswagen Tiguan 1.4A TSI Comfortline EQP Panoramic Roof,116803,17334,2018-12-31,2018,43989,624,Auto,44374,31231,30851,35724,1395,110,1498,SUV,SOLD,2023-03-27,2023-04-05,VOLKSWAGEN
Subaru WRX STI 2.5M,178888,28330,2018-12-05,2018,67000,1750,Manual,46371,33076,31302,38307,2457,221,1617,Sports Car,AVAIL,2023-04-07,2023-04-07,SUBARU
BMW 2 Series 218i Active Tourer,39800,16230,2015-01-30,2014,138000,684,Auto,25245,28242,75200,21539,1499,100,1360,Hatchback,AVAIL,2023-04-07,2023-04-07,BMW
Porsche Cayenne Coupe E-Hybrid 3.0A Tip,558888,59820,2021-02-03,2020,88,2380,Auto,173384,117943,51900,184298,2995,340,2435,SUV,AVAIL,2023-04-07,2023-04-11,PORSCHE
Toyota Corolla Hatchback Hybrid 1.8A Ascent Sport,106119,14031,2022-04-27,2019,74306,976,Auto,90037,26543,90002,14161,1798,90,1360,Hatchback,AVAIL,2023-03-25,2023-03-27,TOYOTA
Bentley Flying Spur 4.0A V8,299000,93280,2014-11-08,2014,82200,3940,Auto,180008,185927,74403,306669,3993,373,2417,Luxury Sedan,AVAIL,2023-03-30,2023-03-30,BENTLEY
Mercedes-Benz E-Class E300 Coupe AMG Line,168800,27940,2017-09-28,2017,62698,1202,Auto,84097,65007,49000,89013,1991,180,1685,Sports Car,AVAIL,2023-04-01,2023-04-05,MERCEDES-BENZ
Toyota Harrier 2.0A Elegance,64800,19440,2016-01-04,2015,88000,1196,Auto,30147,26381,58801,23934,1986,111,1580,SUV,AVAIL,2023-04-08,2023-04-08,TOYOTA
Mercedes-Benz C-Class C180 Avantgarde,153087,21460,2019-11-22,2019,48565,740,Auto,56864,38805,37000,46327,1595,115,1490,Luxury Sedan,SOLD,2023-04-04,2023-04-15,MERCEDES-BENZ
Hyundai Accent 1.4A,78603,11435,2020-08-12,2019,30755,608,Auto,27925,9218,32699,9218,1368,74,1115,Mid-Sized Sedan,SOLD,2023-04-04,2023-04-05,HYUNDAI
Volkswagen Kombi (COE till 02/2033),108030,10898,2023-02-24,1967,72554,280,Manual,4882,6392,8673,6392,1584,35,1265,Others,AVAIL,2023-04-15,2023-04-16,VOLKSWAGEN
Jaguar F-PACE 2.0A Prestige,187000,22030,2020-08-11,2019,22458,1210,Auto,65805,42518,37102,51526,1997,184,1832,SUV,AVAIL,2023-04-14,2023-04-14,JAGUAR
Kia Cerato 1.6A SX Sunroof,91800,14340,2019-01-23,2018,76084,738,Auto,27165,18089,23568,18089,1591,94,1287,Mid-Sized Sedan,AVAIL,2023-04-11,2023-04-15,KIA
Volkswagen Golf 1.4A TSI,40800,19970,2015-03-18,2014,101574,624,Auto,13704,19224,57199,5000,1395,90,1249,Hatchback,AVAIL,2023-03-29,2023-04-10,VOLKSWAGEN
Mercedes-Benz C-Class C200 Cabriolet Mild Hybrid AMG Line Premium Plus,198800,26040,2019-05-29,2018,37000,684,Auto,78906,59412,32200,78942,1497,145,1730,Sports Car,AVAIL,2023-04-14,2023-04-14,MERCEDES-BENZ
Hyundai Kona Hybrid 1.6A DCT,126900,14670,2021-06-24,2021,17000,732,Auto,49910,26141,48510,13598,1580,97,1376,SUV,AVAIL,2023-04-10,2023-04-13,HYUNDAI
BMW 7 Series 740Li,220828,27191,2013-05-09,2013,74622,2362,Auto,90018,72102,66989,101784,2979,235,1920,Luxury Sedan,SOLD,2023-04-10,2023-04-12,BMW
Hyundai i30 Wagon 1.6A Sunroof (COE till 09/2024),16800,11530,2009-10-20,2009,146974,1033,Auto,4298,14667,14743,14667,1591,90,1360,Stationwagon,AVAIL,2023-04-13,2023-04-13,HYUNDAI
Hyundai Ioniq Hybrid 1.6A DCT Sunroof,115572,14462,2021-06-23,2021,94787,732,Auto,38542,27449,48510,15429,1580,97,1361,Hatchback,SOLD,2023-03-28,2023-04-02,HYUNDAI
BMW 4 Series 420i Coupe Sunroof,115800,20340,2017-10-25,2017,112000,1210,Auto,55052,43256,48109,47559,1998,135,1495,Sports Car,AVAIL,2023-04-14,2023-04-14,BMW
BMW 5 Series 520i Mild Hybrid M-Sport,276800,24090,2023-03-21,2021,75,1321,Auto,151473,57239,95856,75031,1998,138,1685,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,BMW
Porsche Cayenne 3.0A Tip Panoramic Roof,408800,41720,2021-06-28,2021,24376,2380,Auto,145951,89633,56032,133340,2995,250,2060,SUV,AVAIL,2023-04-13,2023-04-13,PORSCHE
Suzuki Swift Sport 1.6A (COE till 02/2025),25290,13286,2010-02-09,2009,151144,1030,Auto,6312,16242,16519,16242,1586,92,1100,Hatchback,SOLD,2023-04-10,2023-04-13,SUZUKI
Volkswagen Tiguan 2.0A TSI (COE till 12/2030),86800,11250,2011-01-28,2010,140282,1552,Auto,31389,25983,40714,25983,1984,125,1648,SUV,AVAIL,2023-04-10,2023-04-10,VOLKSWAGEN
Mazda 6 2.0A,120800,13980,2021-03-25,2021,28550,1210,Auto,52078,19681,47001,19681,1998,121,1515,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,MAZDA
Honda Vezel 1.5A S,59800,15000,2016-09-21,2015,80933,682,Auto,29143,21207,53334,16690,1496,96,1210,SUV,AVAIL,2023-04-13,2023-04-17,HONDA
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,153000,16990,2021-10-26,2021,35662,778,Auto,64133,27974,61001,16164,1496,174,1350,SUV,AVAIL,2023-04-05,2023-04-09,HONDA
Toyota Alphard 2.5A S C-Package,239400,34290,2019-05-15,2018,66800,1792,Auto,75569,49899,48010,61859,2493,134,2030,MPV,AVAIL,2023-04-04,2023-04-04,TOYOTA
Mercedes-Benz S-Class S400L,118800,32110,2014-09-16,2014,74000,2382,Auto,90357,97016,68689,146629,2996,245,1935,Luxury Sedan,AVAIL,2023-04-11,2023-04-12,MERCEDES-BENZ
Bentley Continental GT 4.0A V8 (New 10-yr COE),298800,30000,2013-05-31,2013,46500,3940,Auto,106477,197497,106916,197497,3993,373,2295,Sports Car,SOLD,2023-03-24,2023-04-01,BENTLEY
BMW 6 Series 640i Gran Coupe Sunroof (COE till 11/2032),169800,17630,2012-12-14,2012,87000,2598,Auto,103670,75665,107652,75665,2979,235,1750,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,BMW
SEAT Ibiza 1.0A EcoTSI DSG Style,109955,11980,2021-09-30,2019,10300,392,Auto,53524,17255,48000,17255,999,85,1164,Hatchback,AVAIL,2023-04-08,2023-04-11,SEAT
SEAT Toledo 1.4A TSI DSG Style,85800,11140,2020-07-30,2019,42000,624,Auto,30763,19256,32699,9256,1395,92,1227,Mid-Sized Sedan,AVAIL,2023-03-25,2023-03-26,SEAT
Honda Civic 1.6A VTi,72800,15190,2017-05-29,2017,102000,742,Auto,35412,20403,51106,20565,1597,92,1249,Mid-Sized Sedan,AVAIL,2023-04-07,2023-04-07,HONDA
Honda Civic Hybrid 1.3A (COE till 10/2028),58800,10600,2008-11-04,2008,158082,885,Auto,16793,29539,30284,17724,1339,70,1290,Mid-Sized Sedan,AVAIL,2023-04-17,2023-04-17,HONDA
Toyota Vellfire 2.4A Z Platinum Selection (COE till 09/2031),139800,16520,2012-01-20,2011,138000,1966,Auto,49159,48355,58124,48355,2362,125,1930,MPV,AVAIL,2023-03-28,2023-03-28,TOYOTA
Volvo S60 T5,86888,14820,2018-02-27,2017,62010,1176,Auto,41392,26813,44000,29539,1969,180,1557,Luxury Sedan,AVAIL,2023-04-05,2023-04-06,VOLVO
Mercedes-Benz AMG GT S,637500,73610,2020-02-13,2019,13000,3922,Auto,227429,165254,37109,269458,3982,384,1665,Sports Car,AVAIL,2023-04-09,2023-04-15,MERCEDES-BENZ
Mazda 8 2.3A Sunroof,87988,18991,2014-06-20,2014,81962,1520,Auto,35466,24431,67304,26204,2261,120,1780,MPV,SOLD,2023-03-29,2023-04-14,MAZDA
Toyota Vios 1.5A E (COE till 02/2024),11000,12910,2009-02-23,2008,173218,1026,Auto,2192,11900,12864,11900,1497,80,1095,Mid-Sized Sedan,AVAIL,2023-04-14,2023-04-15,TOYOTA
Toyota Corolla Altis 1.6A (COE till 02/2024),13800,16140,2009-02-24,2008,164672,1113,Auto,2192,16084,12864,16084,1598,80,1195,Mid-Sized Sedan,AVAIL,2023-04-05,2023-04-05,TOYOTA
Mitsubishi ASX 2.0A,71800,12890,2018-03-12,2017,120576,1210,Auto,31132,17167,39000,17167,1998,110,1365,SUV,AVAIL,2023-04-04,2023-04-13,MITSUBISHI
Toyota Alphard Hybrid 2.5A SR C-Package Moonroof,329988,30330,2023-02-01,2022,22,1337,Auto,160732,51970,113881,65546,2493,145,1643,MPV,AVAIL,2023-04-09,2023-04-10,TOYOTA
Volkswagen Golf 1.4A TSI,54800,14350,2016-09-28,2016,92000,624,Auto,24119,20409,50000,10573,1395,92,1249,Hatchback,AVAIL,2023-04-15,2023-04-15,VOLKSWAGEN
Kia Cerato K3 1.6A SX Sunroof,68800,12600,2018-02-22,2017,70400,738,Auto,30821,15334,41400,15334,1591,96,1295,Mid-Sized Sedan,AVAIL,2023-04-13,2023-04-13,KIA
Mercedes-Benz GLC-Class GLC200,160800,22360,2019-04-30,2019,63000,1202,Auto,62466,42557,39401,51580,1991,135,1705,SUV,AVAIL,2023-03-27,2023-04-09,MERCEDES-BENZ
Mercedes-Benz B-Class B180 Style,129800,16940,2019-12-17,2019,56000,586,Auto,49834,29676,37000,33547,1332,100,1405,Hatchback,AVAIL,2023-04-12,2023-04-12,MERCEDES-BENZ
Mercedes-Benz CLA-Class CLA180 Urban,123000,17840,2019-04-23,2019,83000,740,Auto,39141,27989,26170,31185,1595,90,1430,Luxury Sedan,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
Audi A3 Sportback 1.0A TFSI S-tronic,99800,14370,2019-05-27,2019,56000,392,Auto,34464,22826,27000,23957,999,85,1275,Hatchback,AVAIL,2023-04-03,2023-04-03,AUDI
Honda Stream 1.8A X (COE till 01/2024),41007,13446,2009-01-12,2008,131107,1467,Auto,3780,20383,15668,20383,1799,103,1350,MPV,SOLD,2023-03-30,2023-04-04,HONDA
Honda Freed 1.5A G (COE till 07/2024),18800,14630,2009-07-30,2008,90439,955,Auto,3921,20382,15256,20382,1496,87,1280,MPV,AVAIL,2023-04-16,2023-04-17,HONDA
Mazda 5 2.0A Sunroof,65227,16583,2015-12-30,2015,87220,1210,Auto,31896,18062,58801,18062,1998,111,1535,MPV,SOLD,2023-03-25,2023-04-10,MAZDA
BMW 4 Series 430i Coupe M-Sport Pro Sunroof,278688,27990,2021-10-06,2021,7100,1210,Auto,105096,61649,57700,82969,1998,180,1545,Sports Car,AVAIL,2023-04-15,2023-04-15,BMW
Volvo V40 Cross Country Diesel D2 Moonroof,28800,18800,2014-04-16,2014,33900,1144,Auto,17752,30791,77400,20108,1560,84,1448,Hatchback,AVAIL,2023-04-06,2023-04-14,VOLVO
Toyota Dyna 150 3.0M,89800,13130,2020-02-17,2019,59311,768,Manual,12651,34366,18492,1719,2982,94,1800,Truck,AVAIL,2023-04-16,2023-04-16,TOYOTA
Toyota Wish 1.8A X Limited (COE till 04/2027),51800,12920,2007-04-20,2007,130400,1458,Auto,20832,18908,52008,20799,1794,97,1300,MPV,AVAIL,2023-04-01,2023-04-17,TOYOTA
Mitsubishi Attrage 1.2A Sports (OPC),69800,9270,2020-07-20,2019,20100,70,Auto,15739,14270,16520,5000,1193,59,940,Mid-Sized Sedan,AVAIL,2023-04-01,2023-04-17,MITSUBISHI
Mercedes-Benz E-Class E200 Coupe,212800,27570,2019-06-17,2019,61000,1202,Auto,90683,63029,43102,85453,1991,135,1655,Sports Car,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
BMW X1 sDrive18i Sunroof (COE till 08/2030),87800,11900,2010-09-29,2010,149000,1570,Auto,24284,28542,32914,28542,1995,110,1455,SUV,AVAIL,2023-04-17,2023-04-17,BMW
Kia Cerato 1.6A LX,92800,12500,2020-03-25,2019,14000,738,Auto,33328,12056,35010,12056,1591,94,1287,Mid-Sized Sedan,AVAIL,2023-03-27,2023-03-31,KIA
Subaru Forester 2.0i-L Sunroof,88800,14680,2018-11-19,2018,46000,1208,Auto,28109,13395,32302,13395,1995,110,1591,SUV,AVAIL,2023-04-06,2023-04-13,SUBARU
Mercedes-Benz E-Class E220d Sport,215800,22860,2021-06-24,2020,28000,1734,Auto,92085,46550,60109,57170,1950,143,1750,Luxury Sedan,AVAIL,2023-04-07,2023-04-12,MERCEDES-BENZ
Toyota Wish 1.8A,68800,15660,2017-01-18,2016,73000,976,Auto,32918,19955,53106,19955,1798,105,1360,MPV,AVAIL,2023-04-13,2023-04-17,TOYOTA
Porsche 718 Cayman 2.0A PDK,274800,42570,2018-08-16,2018,44000,1200,Auto,89916,68575,34381,95435,1988,220,1365,Sports Car,AVAIL,2023-04-17,2023-04-17,PORSCHE
Mercedes-Benz GLA-Class GLA200 AMG Line Premium Plus,146800,20030,2019-08-16,2018,53000,740,Auto,55195,34160,40001,39824,1595,115,1435,SUV,AVAIL,2023-04-04,2023-04-05,MERCEDES-BENZ
Mercedes-Benz C-Class C180 Mild Hybrid AMG Line,238880,23210,2022-06-30,2022,4370,682,Auto,120642,41682,90002,50355,1496,140,1550,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,MERCEDES-BENZ
BMW 5 Series 535i Gran Turismo (COE till 04/2031),153391,18807,2011-09-26,2011,120724,2834,Auto,43406,65644,47316,65644,2979,225,1940,Luxury Sedan,SOLD,2023-04-10,2023-04-15,BMW
Honda HR-V 1.5A DX,61000,13780,2017-02-28,2016,90000,682,Auto,28742,20295,48401,15413,1496,96,1185,SUV,AVAIL,2023-04-15,2023-04-15,HONDA
Porsche 911 Carrera S Coupe 3.8A PDK (New 10-yr COE),418000,41770,2012-10-18,2012,46800,4002,Auto,138159,149577,72924,149577,3800,294,1490,Sports Car,AVAIL,2023-03-29,2023-03-29,PORSCHE
Hyundai Avante 1.6A (COE till 12/2024),16227,11317,2010-01-06,2009,163583,1033,Auto,4508,11340,15988,11340,1591,90,1264,Mid-Sized Sedan,SOLD,2023-04-05,2023-04-15,HYUNDAI
BMW 2 Series 216i Gran Tourer Luxury,104613,16446,2018-05-31,2018,69974,684,Auto,46547,32596,38039,37635,1499,75,1480,MPV,SOLD,2023-04-08,2023-04-14,BMW
Toyota Vios 1.5A E (COE till 12/2029),76736,10697,2010-01-18,2009,75912,958,Auto,25603,12717,31976,12717,1497,80,1095,Mid-Sized Sedan,SOLD,2023-03-25,2023-03-28,TOYOTA
Mazda 6 2.0A Executive,70800,14960,2017-03-13,2016,29000,1210,Auto,35861,23404,50621,24766,1998,121,1472,Luxury Sedan,AVAIL,2023-04-16,2023-04-17,MAZDA
BMW 2 Series 216d Active Tourer,96800,16160,2018-06-22,2018,74000,1082,Auto,38442,31486,36426,26081,1496,85,1395,Hatchback,AVAIL,2023-04-15,2023-04-15,BMW
Honda Vezel 1.5A X,58220,12365,2016-03-08,2015,60511,682,Auto,18413,20930,58700,11302,1496,96,1190,SUV,SOLD,2023-03-31,2023-04-03,HONDA
Nissan Sylphy 1.5A (COE till 08/2030),78800,10680,2010-09-30,2010,152204,889,Auto,23741,18378,32190,18378,1498,80,1175,Mid-Sized Sedan,AVAIL,2023-04-01,2023-04-16,NISSAN
Honda Jazz 1.3A,52800,13940,2016-09-07,2016,65357,578,Auto,25884,16018,55200,11018,1318,73,1040,Hatchback,AVAIL,2023-04-13,2023-04-13,HONDA
Mitsubishi Fuso Fighter FM65,81000,25270,2016-07-01,2016,186446,782,Auto,15374,62155,48002,3108,7545,94,6920,Truck,AVAIL,2023-04-07,2023-04-07,MITSUBISHI
Volkswagen Golf 1.4A TSI (COE till 10/2024),19545,14594,2009-10-19,2009,160482,868,Auto,4222,21853,15287,21853,1390,90,1241,Hatchback,SOLD,2023-04-07,2023-04-15,VOLKSWAGEN
MINI Cooper S 1.6A (New 10-yr COE),118888,11880,2013-12-20,2013,103000,742,Auto,45198,27519,51695,25527,1598,135,1155,Sports Car,AVAIL,2023-04-15,2023-04-15,MINI
Mazda 6 2.0A,69800,17290,2016-09-16,2016,50144,1210,Auto,33737,21055,58201,21477,1998,121,1454,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,MAZDA
Ferrari F12berlinetta 6.3A,698000,70342,2013-05-28,2013,35000,7488,Auto,224554,447155,91910,447155,6262,541,1716,Sports Car,AVAIL,2023-04-12,2023-04-12,FERRARI
Audi A5 Sportback 2.0A TFSI S-tronic Design,152369,21384,2019-02-28,2018,48680,1194,Auto,55866,38186,36667,45461,1984,140,1535,Luxury Sedan,SOLD,2023-03-24,2023-03-27,AUDI
Toyota Camry Hybrid 2.5A Ascent Sport,111741,15339,2021-02-03,2020,70343,1784,Auto,47008,32327,49300,22258,2487,160,1570,Luxury Sedan,SOLD,2023-04-04,2023-04-09,TOYOTA
Toyota Harrier 2.0A Premium Panoramic Roof,93775,15827,2015-10-08,2015,104891,1196,Auto,35114,28919,61010,27487,1986,111,1610,SUV,SOLD,2023-04-03,2023-04-17,TOYOTA
Honda Vezel Hybrid 1.5A X,74800,15650,2017-11-29,2017,56820,682,Auto,30009,24575,57390,5000,1496,112,1280,SUV,AVAIL,2023-04-13,2023-04-16,HONDA
Audi Q7 2.0A TFSI Quattro Tip,129800,29210,2016-05-25,2016,92554,1194,Auto,66145,59048,49156,78287,1984,185,2050,SUV,AVAIL,2023-04-14,2023-04-14,AUDI
BYD e6 Electric,121988,14010,2021-10-25,2021,69000,1326,Auto,43810,24000,47001,5000,1592,70,1930,Hatchback,AVAIL,2023-04-06,2023-04-17,BYD
BMW X3 Plug-in Hybrid xDrive30e,280800,26640,2022-06-06,2021,8900,1210,Auto,128326,56898,91112,74417,1998,215,1990,SUV,AVAIL,2023-04-15,2023-04-15,BMW
Mercedes-Benz A-Class A180 Style,115800,17200,2019-03-13,2018,32340,586,Auto,39579,25977,31001,28368,1332,100,1365,Hatchback,AVAIL,2023-04-10,2023-04-10,MERCEDES-BENZ
Honda Civic 1.6A VTi,62800,15560,2016-09-14,2016,68877,742,Auto,30722,19474,53000,19474,1597,92,1249,Mid-Sized Sedan,AVAIL,2023-04-10,2023-04-10,HONDA
BMW 3 Series 320i (New 10-yr COE),88003,19287,2013-06-28,2013,105451,1210,Auto,38846,38665,66404,41131,1997,135,1420,Luxury Sedan,SOLD,2023-04-13,2023-04-17,BMW
BMW 4 Series 428i Gran Coupe Sunroof,77800,24320,2015-06-25,2014,59200,1210,Auto,45887,44368,75000,49116,1997,180,1530,Luxury Sedan,AVAIL,2023-04-14,2023-04-17,BMW
Suzuki SX4 HB 1.6A (COE till 06/2024),14998,12640,2009-06-24,2009,137408,1030,Auto,3540,15378,14920,13911,1586,75,1220,Hatchback,AVAIL,2023-04-15,2023-04-15,SUZUKI
Toyota Camry 2.4A (COE till 03/2025),105964,12539,2010-03-22,2010,107050,2293,Auto,6501,28375,17708,28375,2362,123,1540,Luxury Sedan,SOLD,2023-04-12,2023-04-15,TOYOTA
Honda Civic 1.6A VTi (COE till 08/2025),29822,12990,2010-08-03,2009,171000,962,Auto,7382,22950,16095,22950,1595,92,1220,Mid-Sized Sedan,AVAIL,2023-04-06,2023-04-06,HONDA
Subaru Impreza WRX 2.5M STI (COE till 03/2029),125555,21070,2009-06-30,2008,161866,2450,Manual,19666,37475,33018,37475,2457,221,1505,Sports Car,AVAIL,2023-03-28,2023-04-14,SUBARU
Honda Jazz 1.5A RS (OPC),68661,12455,2016-01-11,2015,79080,184,Auto,26824,15417,42200,10417,1498,96,1046,Hatchback,AVAIL,2023-03-31,2023-04-01,HONDA
MINI Cooper S 1.6A Bayswater Sunroof (New 10-yr COE),145800,14570,2013-05-23,2013,84000,742,Auto,46399,28632,52056,27085,1598,135,1155,Hatchback,AVAIL,2023-04-16,2023-04-16,MINI
BMW X1 sDrive20i M-Sport,167196,22225,2020-08-20,2020,58637,1210,Auto,63464,42149,38802,51009,1998,141,1485,SUV,SOLD,2023-04-11,2023-04-11,BMW
BMW 4 Series 428i Coupe Sport (New 10-yr COE),159888,15980,2013-10-03,2013,147535,1210,Auto,55140,49587,67506,56422,1997,180,1470,Sports Car,AVAIL,2023-04-05,2023-04-05,BMW
Honda N-Van Turbo Style Fun Honda Sensing,79800,8360,2022-10-31,2022,5256,559,Auto,48034,16686,50337,835,658,76,960,Van,AVAIL,2023-03-29,2023-03-29,HONDA
Nissan Qashqai 1.2A DIG-T,40888,14710,2015-08-05,2015,97000,508,Auto,21313,19084,55889,14084,1197,85,1285,SUV,AVAIL,2023-04-13,2023-04-13,NISSAN
