model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Subaru Forester 2.0i-L Sunroof,65102,16045,4/28/2017,2017,92061,1208,Auto,25157,14556,50621,14556,1995,110,1591,SUV,SOLD,SUBARU
Toyota Mark X 2.5A (COE till 05/2026),44000,14090,6/8/2006,2006,172000,2697,Auto,14369,29495,46048,32445,2499,158,1500,Luxury Sedan,AVAIL,TOYOTA
Kia Cerato 1.6A SX,89800,14430,11/19/2018,2018,21725,738,Auto,29552,18186,28457,18186,1591,94,1287,Mid-Sized Sedan,AVAIL,KIA
BMW 3 Series 320i Efficient Dynamics,47800,19800,11/28/2014,2014,103200,742,Auto,29131,35428,73900,31600,1598,125,1410,Luxury Sedan,AVAIL,BMW
Kia Cerato Forte 1.6A SX (COE till 03/2024),10800,11300,10/9/2009,2009,153267,1033,Auto,2434,13930,12763,13930,1591,93,1251,Mid-Sized Sedan,AVAIL,KIA
BMW 3 Series 318i M-Sport,123800,19030,8/17/2018,2018,90000,684,Auto,51703,37489,34381,44485,1499,100,1425,Luxury Sedan,AVAIL,BMW
Honda Fit 1.3A G (COE till 08/2023),23884,11510,8/14/2008,2008,151284,885,Auto,6904,11667,17099,11667,1339,73,1010,Hatchback,SOLD,HONDA
Mazda CX-3 2.0A Standard,89800,12390,10/29/2019,2018,74000,1210,Auto,36739,17631,37912,17631,1998,115,1290,SUV,AVAIL,MAZDA
Mitsubishi Fuso Fighter FK62,57800,24310,9/2/2015,2015,109620,821,Manual,9512,48501,40046,2426,7545,95,5620,Truck,AVAIL,MITSUBISHI
Land Rover Defender 90,118888,31350,1/31/2017,2015,129000,930,Manual,18808,55225,49638,2762,2198,98,1760,Truck,AVAIL,LAND-ROVER
Volkswagen Passat 1.8A TFSI,96800,14120,11/30/2018,2018,89000,976,Auto,44037,30535,32000,34749,1798,132,1480,Luxury Sedan,AVAIL,VOLKSWAGEN
Toyota Rush 1.5A X (COE till 08/2025),14625,17760,9/1/2010,2009,154495,887,Auto,2863,18938,16095,18938,1495,80,1160,SUV,SOLD,TOYOTA
BMW 4 Series 428i Convertible Luxury,86763,22935,1/12/2015,2014,107475,1210,Auto,44640,52076,73900,60737,1997,180,1700,Sports Car,SOLD,BMW
Porsche Taycan Electric 4S,603800,59630,12/16/2021,2020,4200,6057,Auto,193446,131551,85000,173792,2755,420,2215,Sports Car,AVAIL,PORSCHE
BMW X1 sDrive18i Sunroof (COE till 09/2031),99888,11810,9/30/2011,2011,93000,1450,Auto,49143,29893,58124,29893,1995,110,1455,SUV,AVAIL,BMW
Subaru Levorg 1.6A GT-S,75800,15970,3/7/2017,2016,95000,744,Auto,37501,25313,50621,27439,1600,125,1630,Stationwagon,AVAIL,SUBARU
Honda Civic 1.6A VTi,90715,13312,8/7/2019,2019,67110,742,Auto,29990,20084,26667,20118,1597,92,1237,Mid-Sized Sedan,SOLD,HONDA
Audi S5 Cabriolet 3.0A TFSI Quattro (COE till 04/2031),160000,19900,3/21/2012,2011,44000,2856,Auto,38034,79368,47316,79368,2995,245,1880,Sports Car,AVAIL,AUDI
Maserati GranTurismo Sport 4.7A,185800,48020,1/8/2015,2013,50800,5030,Auto,125475,129761,72003,205570,4691,338,1880,Sports Car,AVAIL,MASERATI
Volkswagen Golf 1.4A TSI (COE till 04/2024),12800,12660,4/21/2009,2009,168418,868,Auto,2639,24314,13088,24314,1390,118,1286,Hatchback,AVAIL,VOLKSWAGEN
Mitsubishi Attrage 1.2A,61800,11980,3/29/2018,2017,68000,506,Auto,23292,13554,40000,5000,1193,59,940,Mid-Sized Sedan,AVAIL,MITSUBISHI
Ford Sierra XR4I (COE till 10/2031),75800,8790,10/29/2021,1983,58888,280,Manual,5171,7154,6059,7154,2792,110,1175,Sports Car,AVAIL,FORD
Mercedes-Benz S-Class S320L,318000,33050,12/10/2020,2020,30000,2382,Auto,128437,87882,40301,130188,2996,200,1940,Luxury Sedan,AVAIL,MERCEDES-BENZ
Porsche Macan 2.0A PDK,230000,39470,12/19/2017,2017,32200,1194,Auto,90464,66107,57501,90993,1984,185,1845,SUV,AVAIL,PORSCHE
Mercedes-Benz SL-Class SL350 (COE till 01/2033),271446,29146,1/24/2013,2012,99041,3480,Auto,90489,119058,108106,119058,3498,225,1685,Sports Car,SOLD,MERCEDES-BENZ
Subaru Forester 2.0A XT Sunroof,54833,14608,9/2/2016,2016,96954,1210,Auto,29679,20010,56500,20014,1998,177,1682,SUV,AVAIL,SUBARU
Mitsubishi Fuso Canter FEB21,127800,12830,3/31/2023,2022,31948,854,Manual,50776,33020,51000,1651,2998,100,2220,Truck,AVAIL,MITSUBISHI
Renault Grand Scenic Diesel 1.5A dCi Sunroof,29500,16470,7/31/2014,2013,141330,1048,Auto,17208,24710,62890,16594,1461,81,1522,MPV,AVAIL,RENAULT
Renault Megane Sedan Diesel 1.5A dCi Sunroof,52888,13290,1/31/2017,2016,84501,1048,Auto,22532,19990,50889,5000,1461,81,1320,Mid-Sized Sedan,AVAIL,RENAULT
Honda Vezel 1.5A S,49049,15723,10/6/2015,2015,86222,682,Auto,25173,20818,58700,16146,1496,96,1210,SUV,SOLD,HONDA
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,103800,18910,4/21/2017,2016,109200,1212,Auto,60952,45658,54405,55922,1999,177,1841,SUV,AVAIL,LAND-ROVER
Audi A3 Sedan 1.4A TFSI Ambiente,40800,16700,4/14/2015,2014,131000,624,Auto,21766,27195,67749,15073,1395,92,1310,Luxury Sedan,AVAIL,AUDI
Mazda 3 1.5A Deluxe Sunroof,38888,14030,8/17/2015,2015,116319,682,Auto,20477,17287,56209,12287,1496,88,1321,Mid-Sized Sedan,AVAIL,MAZDA
Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,268800,28680,5/19/2021,2020,15000,1202,Auto,103686,56414,60001,73546,1991,190,1795,SUV,AVAIL,MERCEDES-BENZ
Hyundai Elantra 1.6A GLS S,66261,13498,6/21/2017,2017,64933,738,Auto,28830,12933,45201,12933,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Kia Cerato K3 1.6A,90000,22610,12/12/2016,2016,93000,738,Auto,28381,14723,51507,14723,1591,96,1295,Mid-Sized Sedan,AVAIL,KIA
Porsche 911 Carrera Coupe 3.4A PDK (COE till 07/2032),327999,35280,10/24/2012,2012,83257,3375,Auto,90307,119082,97176,119082,3436,257,1475,Sports Car,AVAIL,PORSCHE
Audi A3 Sedan 1.0A TFSI S-tronic,88762,15576,10/19/2017,2017,59016,392,Auto,33126,24475,41761,16265,999,85,1280,Luxury Sedan,SOLD,AUDI
BMW X2 sDrive20i M-Sport X,163800,19310,6/15/2020,2020,30200,1210,Auto,61401,42060,32500,50884,1998,141,1460,SUV,AVAIL,BMW
Hyundai Avante 1.6A GLS S,85620,13025,2/10/2020,2019,62240,738,Auto,30415,14802,35010,14802,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Audi A7 Sportback 3.0A TFSI Quattro,83800,31720,6/24/2014,2013,120000,2380,Auto,58567,66859,65700,92347,2995,228,1860,Luxury Sedan,AVAIL,AUDI
BMW 3 Series 328i Sunroof,55800,23530,7/10/2014,2012,123914,1210,Auto,38588,44081,73810,53714,1997,180,1530,Luxury Sedan,AVAIL,BMW
Opel Insignia Grandsport Diesel 1.6A Turbo,108079,15561,4/17/2018,2017,73779,1182,Auto,43974,27089,37605,29925,1598,100,1447,Luxury Sedan,AVAIL,OPEL
BYD T3 Electric,105800,10900,12/30/2022,2022,26939,742,Auto,57533,23078,59271,1154,1719,106,1620,Van,AVAIL,BYD
BMW 5 Series 520i (New 10-yr COE),136980,13690,5/27/2013,2013,114650,1210,Auto,54715,41044,65515,44462,1997,135,1610,Luxury Sedan,AVAIL,BMW
Jeep Compass Limited 1.4A,114800,15140,8/15/2019,2018,30000,608,Auto,53770,32812,40512,37937,1368,125,1683,SUV,AVAIL,JEEP
Jaguar F-Type 2.0A Coupe R-Dynamic,450000,44730,3/21/2022,2022,3900,1210,Auto,160492,71680,94889,101024,1997,221,1596,Sports Car,AVAIL,JAGUAR
Lamborghini Gallardo LP560-4 (COE till 10/2031),348800,40820,12/30/2011,2011,58000,7001,Auto,51755,194873,60586,194873,5204,412,1575,Sports Car,AVAIL,LAMBORGHINI
Mercedes-Benz CLA-Class CLA180 Coupe AMG Line,143758,20003,3/31/2022,2022,51360,586,Auto,65707,34163,63000,39829,1332,96,1410,Luxury Sedan,SOLD,MERCEDES-BENZ
Audi A3 Sportback 1.0A TFSI S-tronic,95800,15920,6/30/2018,2018,50278,392,Auto,37129,24173,34110,25843,999,85,1275,Hatchback,AVAIL,AUDI
Mercedes-Benz E-Class E200 Avantgarde,122777,21410,6/21/2017,2017,90128,1202,Auto,67786,52579,50621,66643,1991,135,1605,Luxury Sedan,AVAIL,MERCEDES-BENZ
BMW 2 Series 216d Active Tourer,53800,15200,2/24/2016,2015,122000,1082,Auto,24703,27652,43000,20713,1496,85,1395,Hatchback,AVAIL,BMW
Honda Fit 1.3A G F-Package,74601,12092,11/6/2019,2019,63234,578,Auto,19201,16696,27000,6696,1317,73,1030,Hatchback,SOLD,HONDA
Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC,269800,25820,8/12/2022,2020,200,1202,Auto,128365,47170,91112,58038,1991,200,1805,SUV,AVAIL,MERCEDES-BENZ
BMW i8 Coupe,230888,82620,1/2/2015,2014,33000,778,Auto,111046,126014,76904,178826,1499,266,1485,Sports Car,AVAIL,BMW
Lexus IS250 (COE till 12/2030),88800,11600,12/10/2010,2010,145826,2340,Auto,31143,38280,40714,38280,2500,153,1625,Luxury Sedan,AVAIL,LEXUS
Nissan NV200 1.5M,16000,11250,9/18/2014,2014,164849,774,Manual,7381,20286,52010,1015,1461,90,1320,Van,AVAIL,NISSAN
Mitsubishi Fuso Canter FEB21,31800,20690,10/30/2014,2014,109259,914,Auto,6960,31714,45362,1586,2998,95,2220,Truck,AVAIL,MITSUBISHI
Hyundai Elantra 1.6A GLS Elite,58800,13630,12/15/2016,2016,91000,738,Auto,30191,17756,50951,17756,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Mitsubishi Attrage 1.2A Sports (OPC),66800,9550,1/9/2020,2019,19000,70,Auto,14446,13811,15889,5000,1193,59,940,Mid-Sized Sedan,AVAIL,MITSUBISHI
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,121955,16207,12/22/2020,2020,67021,1194,Auto,51481,32245,45012,37143,1984,110,1515,Luxury Sedan,SOLD,AUDI
Mazda 6 2.0A Executive,50168,15414,11/5/2015,2015,139047,1210,Auto,27792,20209,60001,20293,1998,121,1454,Luxury Sedan,SOLD,MAZDA
Honda Vezel 1.5A X,62807,15405,9/8/2016,2016,73115,682,Auto,27420,21767,53000,12474,1496,96,1190,SUV,SOLD,HONDA
SEAT Leon CUPRA 2.0A TSI DSG,122800,24640,7/13/2017,2016,72277,1194,Auto,46820,31965,49802,36751,1984,213,1421,Sports Car,AVAIL,SEAT
Lexus IS250 (COE till 04/2026),42288,14070,4/19/2006,2006,162148,2700,Auto,14248,35838,47450,39422,2500,153,1625,Luxury Sedan,AVAIL,LEXUS
Kia Cerato Forte 1.6A SX (COE till 09/2024),14178,11470,10/1/2009,2009,154432,1033,Auto,4028,13969,14743,13969,1591,93,1251,Mid-Sized Sedan,AVAIL,KIA
Audi S4 Avant 3.0A TFSI Quattro (COE till 07/2030),127800,17520,10/19/2011,2011,135579,2856,Auto,24472,65383,33568,65383,2995,245,1750,Stationwagon,AVAIL,AUDI
Suzuki Jimny Sierra 1.5A JC,72098,12575,3/29/2021,2020,94469,662,Auto,29511,23569,41001,9997,1460,75,1090,SUV,SOLD,SUZUKI
Honda Fit 1.3A G (COE till 01/2024),11920,12529,1/8/2009,2008,159776,885,Auto,2698,15006,13024,10693,1339,73,1010,Hatchback,SOLD,HONDA
BMW 3 Series 335i Coupe Sunroof (COE till 02/2030),118800,17280,7/29/2010,2010,156000,3071,Auto,26159,55384,38071,55384,2979,225,1540,Sports Car,AVAIL,BMW
Mercedes-Benz C-Class C63 S AMG,110632,21765,1/27/2022,2019,82247,3922,Auto,62109,39029,82501,46641,3982,350,1820,Sports Car,AVAIL,MERCEDES-BENZ
Jaguar X-Type 2.0A SE (COE till 04/2028),69998,13910,4/28/2008,2007,117021,1995,Auto,20564,36936,40881,36936,2099,115,1500,Luxury Sedan,AVAIL,JAGUAR
Mazda 6 2.0A Executive,119615,15468,11/10/2020,2019,53515,1210,Auto,45890,24595,39000,26433,1998,121,1514,Luxury Sedan,SOLD,MAZDA
BMW 7 Series 740Li Sunroof,93800,20620,5/22/2015,2014,119217,2362,Auto,76397,71757,75002,101163,2979,235,1845,Luxury Sedan,AVAIL,BMW
Toyota Corolla Cross Hybrid 1.8A G,168888,17490,7/20/2022,2022,48,974,Auto,110200,26308,107800,13832,1797,90,1380,Mid-Sized Sedan,AVAIL,TOYOTA
Toyota Corolla Altis 1.6A Standard,85800,12570,4/30/2019,2018,115000,742,Auto,30230,19741,25556,19741,1598,96,1230,Mid-Sized Sedan,AVAIL,TOYOTA
BMW X4 M40i Mild Hybrid,359800,33600,4/8/2022,2021,4108,2384,Auto,164443,80044,99999,116097,2998,268,1920,SUV,AVAIL,BMW
BMW 3 Series 318i M-Sport,152690,23301,9/24/2018,2018,66646,684,Auto,51440,37489,32429,44485,1499,100,1425,Luxury Sedan,SOLD,BMW
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,136990,18370,12/29/2020,2020,42920,1194,Auto,54193,34789,39000,40705,1984,110,1515,Luxury Sedan,SOLD,AUDI
Land Rover Defender 90 Hardtop,113800,33150,9/22/2016,2016,53988,863,Manual,17113,37477,49890,1874,2198,99,1700,Truck,AVAIL,LAND-ROVER
Toyota Dyna 150 2.8M,111457,13184,11/10/2022,2022,72304,854,Manual,44594,31609,49525,1581,2755,100,1800,Truck,SOLD,TOYOTA
Volkswagen Golf GTI 5DR Sunroof,133017,20924,9/13/2021,2021,62877,1194,Auto,62636,38625,61001,46075,1984,180,1463,Sports Car,SOLD,VOLKSWAGEN
Toyota Alphard Hybrid 2.5A SR C-Package,327988,29420,3/31/2023,2023,68,1280,Auto,168135,51539,116201,69925,2493,145,1630,MPV,AVAIL,TOYOTA
Porsche Macan Diesel S 3.0A PDK,158655,32774,6/1/2017,2017,73862,3336,Auto,82134,70868,55000,99563,2967,190,1955,SUV,SOLD,PORSCHE
Toyota Vellfire 2.5A Z Moonroof,166888,30820,12/7/2017,2017,74800,1792,Auto,55681,39761,48109,47666,2493,134,2000,MPV,AVAIL,TOYOTA
Mercedes-Benz E-Class E200,65163,29426,8/26/2015,2015,119209,1202,Auto,37546,47421,69001,58390,1991,135,1655,Luxury Sedan,SOLD,MERCEDES-BENZ
Honda Vezel 1.5A X,89368,13565,10/11/2019,2019,79049,682,Auto,29030,23805,34001,15327,1496,96,1190,SUV,SOLD,HONDA
Porsche Macan 2.0A PDK,360000,33450,10/21/2022,2022,3900,1194,Auto,152623,61799,113299,83239,1984,195,1920,SUV,AVAIL,PORSCHE
Saab 9-3 2.0T Linear (COE till 03/2029),59900,10050,6/17/2009,2007,147200,1694,Auto,19666,31502,33018,31502,1998,110,1460,Luxury Sedan,AVAIL,SAAB
Subaru Forester 2.0A XT Sunroof,76800,17230,3/24/2017,2016,102301,1210,Auto,32666,18017,53300,18017,1998,177,1682,SUV,AVAIL,SUBARU
Mercedes-Benz SLK-Class SLK200 (COE till 10/2031),128000,14980,11/8/2011,2011,120000,1169,Auto,51755,54305,60586,54305,1796,135,1470,Sports Car,AVAIL,MERCEDES-BENZ
BMW Z4 sDrive23i (COE till 02/2032),130888,14750,3/30/2012,2011,83000,1976,Auto,71509,44174,80583,44174,2497,150,1430,Sports Car,AVAIL,BMW
Mercedes-Benz CLS-Class CLS350 Coupe Mild Hybrid Sunroof,234090,31534,12/4/2019,2019,50475,1202,Auto,112587,83654,40009,122578,1991,230,1765,Luxury Sedan,SOLD,MERCEDES-BENZ
BMW 3 Series 328i Gran Turismo Sunroof,94800,20410,6/21/2016,2013,40000,1210,Auto,56405,48491,55100,59888,1997,180,1670,Luxury Sedan,AVAIL,BMW
Toyota Sienta 1.5A X (COE till 06/2027),58800,13980,6/20/2008,2008,127494,1023,Auto,21276,15324,50625,15324,1496,81,1210,MPV,AVAIL,TOYOTA
Mercedes-Benz C-Class C180,33000,24460,1/24/2014,2013,104328,740,Auto,19844,29525,74002,28335,1595,115,1485,Luxury Sedan,AVAIL,MERCEDES-BENZ
Honda Jazz 1.5A RS,60071,13596,6/7/2017,2016,80174,684,Auto,28707,17910,50789,12910,1498,96,1046,Hatchback,SOLD,HONDA
Mercedes-Benz E-Class E200K (COE till 01/2027),45800,12320,1/4/2007,2006,118375,1461,Auto,19564,52568,52660,57825,1796,135,1540,Luxury Sedan,AVAIL,MERCEDES-BENZ
Volkswagen Polo 1.2A TSI (COE till 08/2030),84740,12460,10/6/2010,2010,61793,660,Auto,32610,17055,32190,17055,1197,77,1126,Hatchback,SOLD,VOLKSWAGEN
BMW X5 xDrive30d 7-Seater Sunroof (New 5-yr COE),160000,31960,1/24/2014,2013,41000,3376,Auto,91384,82381,46290,120286,2993,190,2070,SUV,AVAIL,BMW
Subaru XV 1.6i-S,53193,12695,9/30/2016,2016,101153,744,Auto,27843,16678,51506,16678,1600,84,1480,SUV,SOLD,SUBARU
Suzuki Swift Sport 1.6M (COE till 03/2030),75000,10790,3/30/2010,2009,108000,957,Manual,23081,14551,33207,14551,1586,92,1090,Hatchback,AVAIL,SUZUKI
Jaguar XF 2.0A Prestige,245800,24630,3/21/2022,2021,6500,1210,Auto,110678,42558,98890,51582,1997,184,1782,Luxury Sedan,AVAIL,JAGUAR
Nissan X-Trail 2.0A 7-Seater,101209,15479,8/17/2016,2016,44326,1210,Auto,50819,23227,56000,24518,1997,106,1626,SUV,SOLD,NISSAN
Honda Fit 1.3A G (COE till 05/2024),11404,11719,8/7/2009,2009,158152,826,Auto,2935,14146,13943,14146,1339,73,1010,Hatchback,SOLD,HONDA
Honda N-Box Slash GL,128800,14190,3/10/2022,2021,38,326,Auto,55271,17727,57898,5000,658,43,900,Hatchback,AVAIL,HONDA
Mitsubishi Lancer EX 1.6A,61281,14838,1/11/2017,2016,79520,738,Auto,27079,13067,52668,13067,1590,86,1284,Mid-Sized Sedan,AVAIL,MITSUBISHI
Fiat Bravo 1.4M T-Jet Panoramic Roof (COE till 03/2029),79146,12123,8/3/2010,2010,96093,790,Manual,26007,19749,25525,19749,1368,110,1275,Hatchback,SOLD,FIAT
Audi Q5 2.0A TFSI Quattro (COE till 01/2030),141800,20950,1/21/2010,2009,153683,1672,Auto,26694,45636,39463,45636,1984,155,1740,SUV,AVAIL,AUDI
Mercedes-Benz E-Class E200 Coupe,166800,26800,12/20/2017,2017,88000,1202,Auto,81393,61607,49996,82893,1991,135,1655,Sports Car,AVAIL,MERCEDES-BENZ
Lexus RX300 Executive,173789,22627,4/13/2018,2018,55230,1210,Auto,71317,51258,37605,64265,1998,175,1890,SUV,SOLD,LEXUS
Mercedes-Benz A-Class A250 AMG Line,173873,22246,7/18/2019,2019,45523,1202,Auto,58790,39535,39728,47349,1991,165,1455,Hatchback,SOLD,MERCEDES-BENZ
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,157800,19010,1/19/2021,2020,41000,802,Auto,53593,31039,49300,20455,1198,100,1758,MPV,AVAIL,NISSAN
Kia Cerato Forte Koup 1.6A SX Sunroof (COE till 12/2024),23800,13920,1/7/2010,2009,151250,1033,Auto,5458,15631,15988,15631,1591,93,1232,Sports Car,AVAIL,KIA
Audi A6 1.8A TFSI Ultra,115000,21830,7/24/2017,2016,115000,976,Auto,51795,40460,49802,43644,1798,140,1645,Luxury Sedan,AVAIL,AUDI
Peugeot 3008 1.2A PureTech EAT8 Active Premium,118504,14709,5/25/2021,2021,59354,508,Auto,46143,24060,41801,25684,1199,96,1320,SUV,SOLD,PEUGEOT
Mercedes-Benz E-Class E250,145983,19801,10/8/2014,2014,123091,1202,Auto,38128,49580,64889,56412,1991,155,1680,Luxury Sedan,SOLD,MERCEDES-BENZ
Honda Fit 1.3A GF,83400,13170,5/22/2019,2019,57000,578,Auto,19891,16202,25000,6202,1317,73,1030,Hatchback,AVAIL,HONDA
Mitsubishi Attrage 1.2A,62599,12889,1/17/2018,2017,61717,506,Auto,23256,13474,42339,5000,1193,59,940,Mid-Sized Sedan,SOLD,MITSUBISHI
Hyundai Elantra 1.6A GLS S,59621,11370,3/20/2018,2018,119604,738,Auto,23248,10087,38830,10087,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Volkswagen Polo GP 1.2A TSI Sunroof,53288,12745,6/27/2016,2016,74179,508,Auto,22788,17279,47419,7279,1197,66,1139,Hatchback,SOLD,VOLKSWAGEN
Mercedes-Benz GLA-Class GLA200 Urban Sunroof,114800,18890,5/7/2018,2017,82000,740,Auto,49051,33223,39903,38513,1595,115,1435,SUV,AVAIL,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI EQP Sunroof,27800,17050,8/31/2014,2014,110000,624,Auto,13686,22710,64600,8794,1395,90,1249,Hatchback,AVAIL,VOLKSWAGEN
Mercedes-Benz A-Class A180,50339,15435,11/16/2015,2015,112928,740,Auto,26460,22896,57498,19055,1595,90,1395,Hatchback,SOLD,MERCEDES-BENZ
Toyota Camry 2.0A (COE till 10/2029),70800,10890,10/16/2009,2009,123800,1694,Auto,24371,27271,37502,27271,1998,108,1530,Luxury Sedan,AVAIL,TOYOTA
Nissan NV200 1.5M,64888,9800,11/28/2019,2019,20246,662,Manual,8822,20703,13333,1036,1461,74,1260,Van,AVAIL,NISSAN
BMW 7 Series 740Li Luxury Sunroof,130800,25210,1/28/2016,2015,135000,2384,Auto,88014,82909,54920,121237,2998,240,1770,Luxury Sedan,AVAIL,BMW
Audi A8L 3.0A TFSI Quattro,173152,34644,4/5/2017,2014,60223,2380,Auto,86704,74457,51000,106023,2995,228,1955,Luxury Sedan,SOLD,AUDI
Mazda 3 HB 1.5A Deluxe Sunroof,52888,14420,6/17/2016,2016,103000,682,Auto,26383,19450,53694,14450,1496,88,1324,Hatchback,AVAIL,MAZDA
Maserati GranTurismo Cambiocorsa (COE till 12/2029),149000,22200,1/29/2010,2009,148000,7042,Auto,26377,120702,39313,120702,4691,323,1880,Sports Car,AVAIL,MASERATI
BMW 2 Series 218i Coupe Sunroof,89775,18666,3/21/2017,2017,93818,684,Auto,37163,28818,53300,27346,1499,100,1360,Sports Car,SOLD,BMW
McLaren 12C (COE till 06/2032),483800,52520,7/12/2012,2012,40000,3997,Auto,87501,278169,95025,278169,3798,441,1514,Sports Car,AVAIL,MCLAREN
Mercedes-Benz GLC-Class GLC250 4MATIC,160800,26060,5/31/2018,2018,60000,1202,Auto,60931,44724,39000,54614,1991,155,1735,SUV,AVAIL,MERCEDES-BENZ
Mitsubishi Evolution 9 MR GSR (COE till 06/2026),139900,43640,9/28/2006,2006,120000,1815,Manual,15527,40805,48479,44886,1997,206,1420,Sports Car,AVAIL,MITSUBISHI
Mercedes-Benz S-Class S320L,183800,28620,5/17/2017,2016,89000,2382,Auto,115356,89948,53001,133907,2996,200,1940,Luxury Sedan,AVAIL,MERCEDES-BENZ
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,140800,16530,4/15/2021,2020,18000,682,Auto,54693,28690,52309,17166,1496,101,1430,MPV,AVAIL,HONDA
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,119800,22190,5/31/2017,2016,98226,1212,Auto,61658,46235,53300,56729,1999,177,1841,SUV,AVAIL,LAND-ROVER
Mercedes-Benz CLC-Class CLC180K (COE till 11/2028),59800,10760,11/5/2008,2008,188000,1461,Auto,17838,33165,32121,33165,1796,105,1495,Sports Car,AVAIL,MERCEDES-BENZ
Honda HR-V 1.5A DX,61870,13064,11/19/2018,2018,167310,682,Auto,24613,19842,28457,19842,1496,96,1191,SUV,SOLD,HONDA
Audi Q5 2.0A TFSI Quattro (COE till 05/2024),15800,14200,5/28/2009,2009,195678,1672,Auto,4390,44757,19782,44757,1984,155,1740,SUV,AVAIL,AUDI
Honda Fit Hybrid 1.5A,67888,14200,11/24/2017,2017,101231,682,Auto,26466,21047,52000,5000,1496,101,1080,Hatchback,AVAIL,HONDA
Toyota Previa 2.4A Aeras Moonroof,123898,24058,6/19/2017,2017,80601,1638,Auto,52122,34489,55414,40285,2362,125,1775,MPV,SOLD,TOYOTA
Honda Civic 1.6A VTi,83102,13479,4/3/2018,2018,87806,742,Auto,33922,19724,38200,19724,1597,92,1249,Mid-Sized Sedan,SOLD,HONDA
Lexus ES Hybrid ES300h Luxury Sunroof,248800,23620,3/31/2022,2021,12000,1784,Auto,144376,56896,98889,74413,2487,160,1680,Luxury Sedan,AVAIL,LEXUS
BMW 5 Series 530i,178888,24230,1/30/2019,2018,53000,1210,Auto,75807,58415,31001,77147,1998,185,1615,Luxury Sedan,AVAIL,BMW
Toyota Wish 1.8A (COE till 07/2023),22005,15980,7/30/2008,2008,122545,1458,Auto,6284,18803,18444,18803,1794,97,1310,MPV,SOLD,TOYOTA
Honda Civic 1.5A VTEC Turbo Sunroof,76000,16980,1/5/2017,2016,130000,684,Auto,33875,27624,46229,25674,1498,127,1324,Mid-Sized Sedan,AVAIL,HONDA
Lexus GS300 (COE till 12/2028),93902,14966,1/9/2009,2008,157234,3570,Auto,20179,52219,31553,52219,2995,183,1660,Luxury Sedan,SOLD,LEXUS
BMW 3 Series 318i Sport,88800,15980,10/19/2017,2017,86500,684,Auto,45514,33232,49012,33525,1499,100,1425,Luxury Sedan,AVAIL,BMW
Toyota Alphard 2.5A S,94688,32290,8/18/2015,2015,120000,1792,Auto,40589,33192,75002,38469,2493,134,1980,MPV,AVAIL,TOYOTA
Kia Stinger 3.3A GT Sunroof,169800,22470,9/6/2019,2019,45000,2920,Auto,69918,43090,48010,52326,3342,272,1780,Luxury Sedan,AVAIL,KIA
Honda Crossroad 1.8A L (COE till 11/2023),12800,22680,11/10/2008,2008,180813,1467,Auto,1804,18684,16061,18684,1799,103,1410,SUV,AVAIL,HONDA
Volkswagen Golf 1.4A TSI EQP Sunroof,48000,17050,9/15/2015,2015,51000,624,Auto,21983,22642,57089,13699,1395,90,1249,Hatchback,AVAIL,VOLKSWAGEN
Honda Shuttle Hybrid 1.5A,88047,14000,1/29/2019,2018,48958,682,Auto,28219,21564,31809,12190,1496,101,1190,Stationwagon,SOLD,HONDA
Toyota Vellfire 3.5A Z G-Edition Moonroof,63800,27180,8/15/2014,2014,59000,3100,Auto,39058,45264,64889,55370,3456,206,2030,MPV,AVAIL,TOYOTA
Toyota Hilux Double-Cab (COE till 02/2027),41565,17203,3/23/2007,2006,111910,1482,Manual,9416,25950,21642,28545,2982,108,1760,Truck,SOLD,TOYOTA
Peugeot 5008 1.2A Puretech EAT8 Active Premium,121944,15987,3/11/2021,2020,63965,508,Auto,48210,28507,41996,31910,1199,96,1430,MPV,SOLD,PEUGEOT
Volkswagen Golf 1.4A TSI Comfortline,97213,15003,1/31/2020,2019,49301,624,Auto,34967,19707,35010,19707,1395,92,1270,Hatchback,SOLD,VOLKSWAGEN
BMW M4 Cabriolet Competition Package,432000,41057,3/4/2022,2019,29111,2362,Auto,159084,66026,93102,90847,2979,331,1890,Sports Car,AVAIL,BMW
Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC Premium,218800,25690,3/17/2020,2019,65000,1202,Auto,86561,61235,36000,82223,1991,200,1805,SUV,AVAIL,MERCEDES-BENZ
