model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Nissan Teana 2.0A (COE till 04/2024),27477,13535,5/30/2009,2009,137754,1694,Auto,7882,29486,17706,29486,1997,100,1450,Luxury Sedan,SOLD,NISSAN
Toyota Estima 2.4A Aeras Moonroof,34800,21950,1/15/2014,2013,114318,1638,Auto,24293,32056,83000,36879,2362,125,1790,MPV,AVAIL,TOYOTA
MINI Cooper S Cabriolet 1.6A (COE till 12/2030),81888,10620,3/17/2011,2011,159339,965,Auto,28759,32272,37303,32272,1598,135,1255,Sports Car,AVAIL,MINI
Honda Jade 1.5A RS,81800,15890,7/19/2017,2016,67000,682,Auto,41032,25975,49802,28365,1496,110,1514,MPV,AVAIL,HONDA
Mitsubishi Lancer EX 1.6A Sports,47800,12990,6/8/2016,2015,100054,738,Auto,23808,13955,49700,13955,1590,86,1284,Mid-Sized Sedan,AVAIL,MITSUBISHI
Mercedes-Benz CLA-Class CLA200 Progressive,143500,19620,7/9/2019,2019,60000,586,Auto,56621,36077,39728,42508,1332,120,1420,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Harrier Turbo 2.0A M,93797,17404,1/31/2018,2017,92764,1210,Auto,39187,30808,45289,35132,1998,170,1695,SUV,SOLD,TOYOTA
Jaguar F-Type 2.0A Coupe,288888,33000,8/8/2020,2019,21121,1210,Auto,96965,68448,34989,95207,1997,221,1596,Sports Car,AVAIL,JAGUAR
Ford Ranger Double-Cab 3.2A XLT,136000,22930,3/22/2019,2018,52000,823,Auto,15957,25790,26914,28106,3198,86,2200,Truck,AVAIL,FORD
Kia Stinger 2.0A Sunroof,170982,16847,2/16/2022,2021,30777,1210,Auto,103801,35844,86102,42182,1998,180,1758,Luxury Sedan,SOLD,KIA
Toyota Corolla Altis 1.6A Elegance,65957,14139,3/28/2016,2015,85037,742,Auto,30878,19589,45000,19589,1598,90,1205,Mid-Sized Sedan,SOLD,TOYOTA
Audi A3 Sedan 1.4A TFSI Ambiente,25555,20940,2/26/2014,2013,91175,624,Auto,14163,27204,77201,15086,1395,90,1310,Luxury Sedan,AVAIL,AUDI
Audi Q3 1.4A TFSI S-tronic,82438,15867,4/28/2016,2016,142168,624,Auto,37976,29808,49602,33732,1395,110,1480,SUV,AVAIL,AUDI
Tesla Model 3 Electric Performance AWD,220800,22290,12/2/2021,2021,17000,5384,Auto,114079,72143,82801,56858,2264,377,1844,Luxury Sedan,AVAIL,TESLA
