model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Mazda 6 2.0A Executive,59800,15110,29-06-16,7.00,2016,7.00,75000,1210,Auto,33140,22084,57010,22918,1998,121,1454,Luxury Sedan,AVAIL,15-04-23,17-04-23,MAZDA
Mitsubishi Fuso Canter FEB21,130800,13610,23-11-22,1.00,2022,1.00,20857,1126,Manual,44072,31789,45869,1590,2998,98,2220,Truck,AVAIL,13-04-23,13-04-23,MITSUBISHI
Toyota Noah Hybrid 1.8A X,143800,21940,12-03-19,4.00,2018,5.00,62688,974,Auto,42255,33202,35403,28483,1797,100,1610,MPV,AVAIL,29-03-23,15-04-23,TOYOTA
Porsche Panamera 3.6A PDK Sunroof (COE till 11/2030),149800,19640,18-05-11,12.00,2011,12.00,147971,3998,Auto,30520,114865,40014,114865,3605,300,1760,Sports Car,AVAIL,14-04-23,14-04-23,PORSCHE
Mazda 6 2.5A Premium,57800,14040,29-04-16,7.00,2016,7.00,103439,1786,Auto,34792,27464,49501,30450,2488,141,1513,Luxury Sedan,AVAIL,14-04-23,17-04-23,MAZDA
Audi A4 1.8A TFSI MU Attraction,58000,17380,26-10-15,8.00,2015,8.00,120000,976,Auto,32023,29418,59889,28186,1798,125,1545,Luxury Sedan,AVAIL,11-04-23,14-04-23,AUDI
Toyota Harrier 2.0A Elegance,60500,19040,19-10-15,8.00,2015,8.00,82000,1196,Auto,30883,27538,62101,25554,1986,111,1610,SUV,AVAIL,03-04-23,14-04-23,TOYOTA
Mercedes-Benz C-Class C180 Avantgarde,93388,20640,15-12-16,7.00,2016,7.00,83800,740,Auto,43983,34691,57002,35568,1595,115,1425,Luxury Sedan,AVAIL,08-04-23,08-04-23,MERCEDES-BENZ
Mercedes-Benz CLA-Class CLA200 (New 10-yr COE),79800,12370,12-09-13,10.00,2013,10.00,118200,740,Auto,14326,29057,76223,22680,1595,115,1430,Luxury Sedan,AVAIL,30-03-23,15-04-23,MERCEDES-BENZ
Lexus ES250 Executive Sunroof,141856,23847,30-10-20,3.00,2020,3.00,58789,1784,Auto,55509,40319,40989,48447,2487,152,1620,Luxury Sedan,SOLD,07-04-23,15-04-23,LEXUS
BMW 5 Series 530i Luxury,127800,23100,12-06-17,6.00,2017,6.00,90000,1210,Auto,65375,50933,50110,63680,1998,185,1540,Luxury Sedan,AVAIL,07-04-23,12-04-23,BMW
Honda Civic 1.6A VTi,77800,14370,10-01-18,5.00,2017,6.00,55000,742,Auto,33974,19536,42902,19536,1597,92,1249,Mid-Sized Sedan,SOLD,12-04-23,12-04-23,HONDA
Mercedes-Benz SLS AMG (COE till 07/2031),750000,90440,15-08-11,12.00,2011,12.00,6000,8885,Auto,48047,217861,57955,217861,6208,420,1695,Sports Car,AVAIL,28-03-23,12-04-23,MERCEDES-BENZ
Honda Stream 1.8A X (COE till 12/2023),27733,13954,23-01-09,14.00,2007,16.00,136366,1467,Auto,6618,16887,15777,16887,1799,103,1350,MPV,SOLD,31-03-23,01-04-23,HONDA
Toyota Noah 2.0A X CNG (COE till 11/2023),58838,12803,10-11-08,15.00,2008,15.00,118096,1794,Auto,5887,21274,16061,12765,1986,105,1560,MPV,SOLD,02-04-23,02-04-23,TOYOTA
Toyota Estima 2.4A Aeras Premium Moonroof,102800,21910,26-01-17,6.00,2016,7.00,80000,1638,Auto,46083,34306,53106,40029,2362,125,1770,MPV,AVAIL,13-04-23,13-04-23,TOYOTA
Toyota Sienta 1.5A X,129000,13030,30-05-22,1.00,2019,4.00,3500,682,Auto,77204,20175,68001,20245,1496,80,1320,MPV,AVAIL,06-04-23,13-04-23,TOYOTA
Nissan NV200 1.6A DX,14800,14840,16-04-14,9.00,2014,9.00,127903,575,Auto,5360,16269,53891,814,1597,83,1200,Van,AVAIL,05-04-23,17-04-23,NISSAN
Hyundai Avante 1.6A GLS,86800,11630,14-03-20,3.00,2019,4.00,80000,738,Auto,32212,12836,32699,12836,1591,94,1345,Mid-Sized Sedan,AVAIL,09-04-23,09-04-23,HYUNDAI
Subaru Forester 2.0i-L Sunroof,83500,14700,06-07-18,5.00,2018,5.00,80000,1208,Auto,27799,13462,33900,13462,1995,110,1591,SUV,AVAIL,15-04-23,15-04-23,SUBARU
Mazda 3 1.5A Deluxe Sunroof,46800,13380,14-04-16,7.00,2016,7.00,100000,682,Auto,21876,18539,46009,13539,1496,88,1321,Mid-Sized Sedan,AVAIL,10-04-23,13-04-23,MAZDA
Audi A3 Sedan 1.0A TFSI S-tronic,80888,15890,24-11-17,6.00,2017,6.00,95000,392,Auto,32514,23895,47112,15453,999,85,1280,Luxury Sedan,AVAIL,14-04-23,14-04-23,AUDI
Toyota Allion 1.5A (COE till 09/2024),20800,14270,05-11-09,14.00,2008,15.00,195399,955,Auto,4298,18607,14743,18555,1496,81,1200,Mid-Sized Sedan,AVAIL,14-04-23,14-04-23,TOYOTA
Nissan Qashqai 1.2A DIG-T Premium,47777,14750,28-01-16,7.00,2015,8.00,115000,508,Auto,22352,18454,51301,13454,1197,85,1285,SUV,AVAIL,14-04-23,14-04-23,NISSAN
Toyota Voxy Hybrid 1.8A V,162988,23230,20-08-19,4.00,2018,5.00,41000,974,Auto,44945,35148,36901,31208,1797,100,1630,MPV,AVAIL,16-04-23,17-04-23,TOYOTA
Honda Airwave 1.5A M (COE till 09/2023),6800,11662,17-09-08,15.00,2008,15.00,230000,1023,Auto,1347,14582,16170,8771,1496,81,1160,Stationwagon,AVAIL,16-04-23,16-04-23,HONDA
Toyota C-HR 1.2A Turbo Active,85500,14280,20-04-18,5.00,2018,5.00,48100,508,Auto,39460,25647,37000,27906,1197,85,1385,SUV,AVAIL,03-04-23,12-04-23,TOYOTA
Porsche 718 Cayman 2.0A PDK,368800,40750,11-12-20,3.00,2019,4.00,11900,1200,Auto,119720,78748,45510,113747,1988,220,1365,Sports Car,AVAIL,02-04-23,02-04-23,PORSCHE
Volkswagen Golf 1.2A TSI,52036,13518,13-05-16,7.00,2015,8.00,77289,508,Auto,21097,18265,47889,8265,1197,81,1229,Hatchback,SOLD,30-03-23,17-04-23,VOLKSWAGEN
Mercedes-Benz C-Class C180 Avantgarde,52000,21500,22-01-15,8.00,2014,9.00,108000,740,Auto,27911,32861,70890,28006,1595,115,1425,Luxury Sedan,AVAIL,07-04-23,10-04-23,MERCEDES-BENZ
Mercedes-Benz GLA-Class GLA200 Urban Sunroof,43000,20890,10-10-14,9.00,2014,9.00,110000,740,Auto,23404,30054,68689,24076,1595,115,1435,SUV,AVAIL,01-04-23,01-04-23,MERCEDES-BENZ
Toyota 86 2.0M High Grade (COE till 03/2032),147800,16490,18-07-12,11.00,2012,11.00,102000,1331,Manual,74775,30804,83464,30804,1998,147,1239,Sports Car,AVAIL,28-03-23,28-03-23,TOYOTA
Volkswagen Jetta Sport 1.4A TSI (COE till 01/2025),24800,14030,22-01-10,13.00,2009,14.00,157511,868,Auto,5433,21615,16184,21615,1390,118,1377,Mid-Sized Sedan,AVAIL,13-04-23,16-04-23,VOLKSWAGEN
Toyota C-HR Hybrid 1.8A G,70839,15682,29-12-17,6.00,2017,6.00,77250,974,Auto,24493,31185,48011,5659,1797,90,1440,SUV,AVAIL,26-03-23,01-04-23,TOYOTA
Lexus ES250 Executive Sunroof,102800,19400,29-06-17,6.00,2016,7.00,66800,1792,Auto,49822,36195,47501,42673,2494,135,1615,Luxury Sedan,AVAIL,17-04-23,17-04-23,LEXUS
BMW 1 Series 135i Coupe M-Sport (COE till 07/2031),118000,14230,03-08-11,12.00,2011,12.00,106423,2834,Auto,48047,43789,57955,43789,2979,225,1470,Sports Car,AVAIL,02-04-23,11-04-23,BMW
Tesla Model 3 Electric Standard Range,300400,33200,09-11-21,2.00,2021,2.00,18774,3226,Auto,82472,58310,68310,31958,2103,239,1750,Luxury Sedan,AVAIL,31-03-23,04-04-23,TESLA
Hyundai Avante 1.6A S,101882,13837,09-02-21,2.00,2021,2.00,30279,742,Auto,34032,18476,42000,5000,1598,91,1280,Mid-Sized Sedan,SOLD,07-04-23,07-04-23,HYUNDAI
BMW X5 xDrive35i Sunroof (COE till 04/2029),96800,16020,28-10-10,13.00,2010,13.00,145000,3071,Auto,21382,69361,35411,69361,2979,225,2070,SUV,AVAIL,04-04-23,04-04-23,BMW
Honda Vezel 1.5A X,48888,14820,24-03-16,7.00,2015,8.00,91259,682,Auto,19685,20571,45002,10800,1496,96,1190,SUV,AVAIL,16-04-23,17-04-23,HONDA
MINI Cooper S 1.6A Sunroof (COE till 12/2030),81555,10570,15-02-11,12.00,2010,13.00,190000,965,Auto,28759,29794,37303,29794,1598,135,1155,Sports Car,AVAIL,04-04-23,04-04-23,MINI
