model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Subaru Forester 2.0i-L Sunroof,N.A,N.A,28-Apr-2017,2017,N.A.,"$1,208 /yr",Auto,N.A.,"$14,556","$50,621","$14,556","1,995 cc",110.0 kW (147 bhp),"1,591 kg",1,SUV,"Features 2.0l 4 Cylinders DOHC Horizontally Opposed Engine, CVT Lineartronic Transmission, Hid Headlamps, LED Daytime Running lights, Front Foglamps, AWD. Vie View specs of the Subaru Forester (2013-2019)","Accessories Leather Electric Seats, Panoramic Sunroof, Keyless Entry/Start, Paddle Shifters, Reverse Camera, Cruise Control, Auto headlamps, Multi Zone Aircon",Description Fully agent maintained. Free 3 years inhouse engine and gearbox warranty available. Free 3 years servicing. High trade in value. Full loan package offer. Call our friendly sales consultant today!,CategoryPARF Car,SOLD
Toyota Hiace 2.8A DX,"$90,800","$11,580",18-Feb-2021,2020,N.A.,N.A.,Auto,"$26,900","$35,445","$34,306","$1,773","2,754 cc",1,"1,800 kg",1,Van,Features View specs of the Toyota Hiace,NA,Description Hiace auto diesel with rear aircon.,CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Mark X 2.5A (COE till 05/2026),"$44,000","$14,090",08-Jun-2006,2006,"172,000 km (10.2k /yr)","$2,697 /yr",Auto,"$14,369","$29,495","$46,048","$32,445","2,499 cc",158.0 kW (211 bhp),"1,500 kg",4,Luxury Sedan,"Features No dealers, no consignment. Negotiable but no low ballers please. Car maintained by SKM. Loan and insurance can be arranged if you need. View specs of the Toyota Mark X (2005-2011)","Accessories 211hp, 260nm torque, 4.1 final drive, 0-100 at 7.8 seconds, V6 rear wheel drive luxury sedan, electric seats, huge boot space and big leg room.","Description Easy maintenance 4GR-FSE, custom intake (stock available), Rota 18 inch rims, H&R lowering springs, upgraded Sumitomo 4 pot front brakes, Pioneer 8750 head unit, hella super tone horn, aftermarket front grill and last but not least, 3 digit running order bidded number plate. Pm for more info.","CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato 1.6A SX,"$89,800","$14,430",19-Nov-2018,2018,"21,725 km (4.9k /yr)",$738 /yr,Auto,"$29,552","$18,186","$28,457","$18,186","1,591 cc",93.8 kW (125 bhp),"1,287 kg",1,Mid-Sized Sedan,"Features 4 cylinder inline 16 valve DOHC dual CVVT engine, 6 speed auto, airbags, ABS, cruise control, auto LED headlights with DRL, sunroof, keyless entry. View specs of the Kia Cerato (2018-2021)","Accessories Sports rims, reverse camera/sensors, drive mode select, multi steering control, Android Auto/Apple CarPlay.",Description 100% loan available. Agent maintained. Come and view now. Highest specs with Sunroof. Everything you need packed in a sedan. Trade in welcome.,"CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 320i Efficient Dynamics,"$47,800","$19,800",28-Nov-2014,2014,"103,200 km (12.3k /yr)",$742 /yr,Auto,"$29,131","$35,428","$73,900","$31,600","1,598 cc",125.0 kW (167 bhp),"1,410 kg",2,Luxury Sedan,"Features BMW 1.6L inline 4 cylinders TwinPower turbocharged engine producing 167bhp, 270nm of torque. 8 speed (A) Steptronic transmission. View specs of the BMW 320i","Accessories BMW iDrive, comfort access with keyless start. Cruise control, Bluetooth phone/AUX, LED DRL, multi function steering, auto headlights/rain sensors.","Description Guarantee buy back at $20,000 by Nov 2024, 100% loan and balloon scheme available immaculate condition and accident free with very low mileage, highest trade in!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato Forte 1.6A SX (COE till 03/2024),"$10,800","$11,300",09-Oct-2009,2009,N.A.,"$1,033 /yr",Auto,"$2,434","$13,930","$12,763","$13,930","1,591 cc",92.7 kW (124 bhp),"1,251 kg",2,Mid-Sized Sedan,"Features 1.6L DOHC 16V 4 cylinder dual CVVT engine producing 124bhp, 6 speed auto transmission, airbags, ABS. View specs of the Kia Cerato","Accessories Factory fitted audio system with steering controls, leather seats, reverse sensors.",Description Bank or in house loan available. Call for more enquiries! We open Monday to Saturday 10 am to 7 pm. Please call us for appointment on Sunday and public holiday. Thank you!,CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 318i M-Sport,"$123,800","$19,030",17-Aug-2018,2018,"90,000 km (19.3k /yr)",$684 /yr,Auto,"$51,703","$37,489","$34,381","$44,485","1,499 cc",100.0 kW (134 bhp),"1,425 kg",2,Luxury Sedan,"Features BMW 1.5l twin-turbo engine, 134bhp, 8 speed Steptronic (a) transmission, eco/comfort/sport mode, LED auto headlights, keyless start/entry, ABS. View specs of the BMW 318i","Accessories M-Sport bodykit/steering, 18"" m sports rims, electric memory seats, BMW iDrive, BMW front & rear camera, front & reverse camera/all round sensors.","Description Nice original paintwork, fully maintained and serviced by PML. Vehicle in original condition! Low mileage! No modifications done! Flexible financing available up to 100% loans. Do not miss this unit! Contact us for more enquiries/arrange a non obligatory viewing today!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Fit 1.3A G (COE till 08/2023),N.A,N.A,14-Aug-2008,2008,N.A.,$885 /yr,Auto,N.A.,"$11,667","$17,099","$11,667","1,339 cc",73.0 kW (97 bhp),"1,010 kg",5,Hatchback,"Features 1.3L fuel efficient 4 cylinders inline 16v I-VTEC engine, powerful 5 speed CVT auto engine. 98 bhp. Torque at 127Nm. Fuel consumption at 15.8km/l. View specs of the Honda Fit (2008-2013)","Accessories Leather seats, brand new sports rims and brand new tyres, reverse camera and sensors, retractable side mirrors, Pioneer touch screen audio player.","Description All wear and tear taken care of! Short term unit, Call now for immediate viewing arrangement, Cheaper than rental plus get back body price, still in very smooth and good driving condition to drive till the end.",CategoryCOE Car,SOLD
Mazda CX-3 2.0A Standard,"$89,800","$12,390",29-Oct-2019,2018,"74,000 km (21.3k /yr)","$1,210 /yr",Auto,"$36,739","$17,631","$37,912","$17,631","1,998 cc",115.0 kW (154 bhp),"1,290 kg",1,SUV,"Features Responsive 2.0L SkyActiv-G 154bhp Engine, Reliable Smooth 6 Speed Auto Transmission, Airbags, Auto Headlight/rain Sensors, Keyless Start/stop. View specs of the Mazda CX-3 (2018)","Accessories Factory Fitted Audio Player, Retractable Side Mirrors, Multi Function Steering Control, Rain Sensing, Auto Headlights.","Description Viewing strictly by appointment only! 1 owner only. Fully serviced and maintained by agent Eurokars. Servicing just done in July. Pristine condition, no further repairs needed. Provide 1 year comprehensive warranty upon purchase. Flexible loan package, lowest interest from 2.78%.","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
Mitsubishi Fuso Fighter FK62,"$57,800","$24,310",02-Sep-2015,2015,N.A.,N.A.,Manual,"$9,512","$48,501","$40,046","$2,426","7,545 cc",1,"5,620 kg",1,Truck,Features View specs of the Mitsubishi Fuso Canter Diesel (2015),Accessories Wooden Deck. Retractable Canopy. Carry 6.2Ton.,Description New Paintwork. Servicing Done. Well Maintenance. High Loan Available. High Trade In. Call Now For Viewing.,Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Land Rover Defender 90,"$118,888","$31,350",31-Jan-2017,2015,"129,000 km (20.8k /yr)",N.A.,Manual,"$18,808","$55,225","$49,638","$2,762","2,198 cc",1,"1,760 kg",1,Truck,Features Powered by a 2.2L inline 4 turbocharged engine producing 122hp with 360nm of torque. Paired to an AWD 6 speed manual.,Accessories All original.,"Description Don't miss this rare and desirable iconic Defender 90, one meticulous owner, well kept, never been off road. High loan and trade in welcome. Viewing by appointment only.",Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Passat 1.8A TFSI,"$96,800","$14,120",30-Nov-2018,2018,"89,000 km (20.3k /yr)",$976 /yr,Auto,"$44,037","$30,535","$32,000","$34,749","1,798 cc",132.0 kW (177 bhp),"1,480 kg",1,Luxury Sedan,Features Powerful and economical 1.8L turbocharged engine. 7 speed DSG automatic transmission. Cruise control. Traction control. Keyless entry/start/stop.,Accessories Electric memory seats. Bluetooth. Rear aircon. Auto hold. Auto start/stop multi function steering wheel. Retractable side mirror.,Description 1 owner unit with genuine milleage. 1 year agent warranty left. Electric memory seats. Bluetooth. Rear aircon. Auto hold. Auto start/stop multi function steering wheel. Retractable side mirror. Bank and high loan available. Trade ins are welcomed. Come and book your test drive with us now.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Rush 1.5A X (COE till 08/2025),N.A,N.A,01-Sep-2010,2009,N.A.,$887 /yr,Auto,N.A.,"$18,938","$16,095","$18,938","1,495 cc",80.0 kW (107 bhp),"1,160 kg",5,SUV,"Features 1.5L 4 cylinders 16 valves DOHC VVT-I engine mated with 4 speed auto transmission, producing 107bhp, ABS, SRS airbags, fog lamps. View specs of the Toyota Rush (2006-2013)","Accessories Factory fitted player, sports rims, leather seats, retractable side mirrors, knockdown rear seats, reverse sensor/camera, front/back camera.",Description Drive with assurance! Genuine and transparent deal! Flexible bank/in house up to 100% loan/trade in available! All our consignment cars are selling at the most reasonable price with a peace of mind! STA inspection welcome! Highest trade in assured! Visit our Carquotes SG website for best deals! By appointment only.,CategoryCOE Car,SOLD
BMW 4 Series 428i Convertible Luxury,N.A,N.A,12-Jan-2015,2014,N.A.,"$1,210 /yr",Auto,N.A.,"$52,076","$73,900","$60,737","1,997 cc",180.0 kW (241 bhp),"1,700 kg",2,Sports Car,"Features Electric leather seats, sport rims, auto headlight, hard top convertible, reverse sensors/camera, foldable side mirrors, BMW audio system. View specs of the BMW 428i","Accessories traction control, keyless engine start, paddle shifters cruise control, hard top retractable roof, auto retractable mirrors. Head Up display!",Description Full loan available! Bank or in house loan is available. We provide the lowest interest rate. Loan and high trade in are available. Ex bankruptcy or bad credit can apply. Meet our friendly consultant for an non-obligation advice.,"CategoryPARF Car, Premium Ad Car",SOLD
Porsche Taycan Electric 4S,"$603,800","$59,630",16-Dec-2021,2020,"4,200 km (3.1k /yr)","$6,057 /yr",Auto,"$193,446","$131,551","$85,000","$173,792",N.A.,420.0 kW (563 bhp),"2,215 kg",1,Sports Car,"Features All wheel drive, electric motor producing 523bhp & 640nm torque. 0-100km/h 4 secs. Top speed 250km/h. View specs of the Porsche Taycan","Accessories Sport chrono package, 20"" Taycan turbo aero wheels, surround view camera, 4+1 seats, 14 way seats with memory, electric folding mirrors.","Description Showroom Condition, Genuine low mileage with 5 years warranty and free maintenance package or 100k km, battery warranty 8 years or 160k km. High Loan & Trade In Welcome! Purchase With Peace of mind from Eurokars Pre-Owned Centre! Call Now to arrange viewing & test drive!","CategoryPARF Car, Low Mileage Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW X1 sDrive18i Sunroof (COE till 09/2031),"$99,888","$11,810",30-Sep-2011,2011,"93,000 km (8k /yr)","$1,450 /yr",Auto,"$49,143","$29,893","$58,124","$29,893","1,995 cc",110.0 kW (147 bhp),"1,455 kg",5,SUV,Features Responsive 2L 4 cylinder inline engine mated with 6 speed automatic gearbox producing 150bhp with 200nm of torque. View specs of the BMW X1 (2010-2015),"Accessories Multi function steering wheel, factory fitted radio, gps navigation, power windows, central locking, Panoramic Sunroof.","Description Well maintained unit, non abused, meticulously maintained, trade in! Only $1400 per mth $0 Driveaway! Call/WhatsApp us now to arrange a viewing!","CategoryCOE Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Subaru Levorg 1.6A GT-S,"$75,800","$15,970",07-Mar-2017,2016,"95,000 km (15.5k /yr)",$744 /yr,Auto,"$37,501","$25,313","$50,621","$27,439","1,600 cc",125.0 kW (167 bhp),"1,630 kg",2,Stationwagon,"Features 1.6L 4 Cylinder 16 Valve Horizontally Opposed DOHC Turbocharged, Active Torque Split AWD System, Si-drive, 167bhp, Cruise Control, Keyless Entry/start View specs of the Subaru Levorg (2015-2020)","Accessories Leather Seats. Sunroof, Factory Fitted Audio System, Electrical Seat. Bluetooth. Sport Rims. Multi Function Steering. Reverse Sensors/camera.","Description Fully Serviced And Maintained By Motor Image, Sporty Stationwagon, Spacious Cabin And Boot Space! Showroom Condition! 100% In House And Bank Loan Available. Trade In Welcome, SMS/WhatsApp/call For Appointment And Viewing!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Civic 1.6A VTi,N.A,N.A,07-Aug-2019,2019,N.A.,$742 /yr,Auto,N.A.,"$20,084","$26,667","$20,118","1,597 cc",92.0 kW (123 bhp),"1,237 kg",2,Mid-Sized Sedan,"Features 1.6l I-VTEC engine, 123bhp, Earth Dreams CVT (a) with paddle shifters. Steering/cruise control. Keyless entry/start. Auto dim rear mirror. Brake hold. View specs of the Honda Civic (2016-2021)","Accessories 17"" Rims. Factory Fitted Audio, Apple CarPlay/Android Auto, Bluetooth Connectivity, USB. Reverse Camera/Sensors. Knockdown Rear Seats. Rear Aircon.",Description Consignment Unit! Popular Civic For Sale! Comes With Almost Brand New Yoko Tyres. Get It Now Before Its Gone. Full Loan and Trade-Ins Welcome! Viewing By Appointment Only.,CategoryPARF Car,SOLD
Audi S5 Cabriolet 3.0A TFSI Quattro (COE till 04/2031),"$160,000","$19,900",21-Mar-2012,2011,"44,000 km (4k /yr)","$2,856 /yr",Auto,"$38,034","$79,368","$47,316","$79,368","2,995 cc",245.0 kW (328 bhp),"1,880 kg",3,Sports Car,Features Original glacier white paintwork. Exclusive magma red with black Nappa leather upholstery. 3.0L V6 supercharged engine coupled with 7 speed S-tronic. View specs of the Audi S5,"Accessories Factory fitted B&O sound system, fully powered folding roof, xenon headlights, Audi MMI, reverse camera, stop-start system, Audi drive select.","Description Well maintained. 2nd car and hardly use. Park at sheltered car park. Low mileage done with service record, tip top condition unit.","CategoryCOE Car, Direct Owner Sale, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Maserati GranTurismo Sport 4.7A,"$185,800","$48,020",08-Jan-2015,2013,"50,800 km (6.1k /yr)","$5,030 /yr",Auto,"$125,475","$129,761","$72,003","$205,570","4,691 cc",338.0 kW (453 bhp),"1,880 kg",4,Sports Car,"Features Powered By A Sonorous 4.7L V8 Engine Mated To A 6 Speed Sequential, Producing 453bhp And 520nm Of Torque, 0-100 Km/h In 4.8s.","Accessories Facelifted LED Headlights, Sport Mode, Sport Seats With Duo Tone Colour, 20 Inch Sport Rims.","Description Agent Unit, Come's With 5 Yrs Warranty & 5 Yrs Free Servicing Package With PML, Upgraded 20'' M-Sport Rims, No Ding & Dents, Tip Top Condition, 100% Accident Free Unit, Interest Fr 2.78%, Full Loan Available, We Welcome Any STA Or Pre Purchase Inspection, High Trade In, Call Us Now. View To Believe.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Golf 1.4A TSI (COE till 04/2024),"$12,800","$12,660",21-Apr-2009,2009,N.A.,$868 /yr,Auto,"$2,639","$24,314","$13,088","$24,314","1,390 cc",118.0 kW (158 bhp),"1,286 kg",4,Hatchback,"Features Fuel efficient 1.4L TSI turbo charged engine, responsive 7 speed DSG transmission, cruise control, traction control, airbags, multi function steering. View specs of the Volkswagen Golf",Accessories Fully Stock Unit,"Description $0 driveaway, 100% loan available. Free 1 year warranty, gearbox, engine & mechatronic. Free pre-purchase check as well for peace of mind. All wear & tear replaced. STA evaluation can be arranged. Loan & insurance at lowest rate. Trade-in/consignment welcome. Call us for appointment.","CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda City 1.5A (COE till 06/2023),"$3,800",N.A.,12-Jun-2008,2007,N.A.,"$1,026 /yr",Auto,$565,"$14,126","$19,107","$12,136","1,497 cc",65.0 kW (87 bhp),"1,054 kg",6,Mid-Sized Sedan,Features View specs of the Honda City,NA,Description Good for short term drive we buy back body $1000 when COE end.,"CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Attrage 1.2A,"$61,800","$11,980",29-Mar-2018,2017,"68,000 km (13.4k /yr)",$506 /yr,Auto,"$23,292","$13,554","$40,000","$5,000","1,193 cc",59.0 kW (79 bhp),940 kg,1,Mid-Sized Sedan,"Features 1.2L DOHC 12 valves MIVEC engine, Invecs-III CVT auto transmission, traction control, keyless entry, push start/stop, steering control. View specs of the Mitsubishi Attrage (2014-2022)","Accessories Sports rims, original head unit, auto fold side mirrors with indicator, reverse sensors.","Description Rare 1 owner unit, Full loan monthly $12xx only! Fuel efficient and reliable! Sgcarmart 2023 premium dealer award winner! Buy with confidence! Full loan available, lowest bank and in house interest rates, in house warranty provided, perfect car condition with no repairs needed! All vehicles undergone workshop 120 point inspection check to be certified road worthy. High trade in value!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Ford Sierra XR4I (COE till 10/2031),"$75,800","$8,790",29-Oct-2021,1983,"58,888 km",$280 /yr,Manual,"$5,171","$7,154","$6,059","$7,154","2,792 cc",110.0 kW (147 bhp),"1,175 kg",2,Sports Car,"Features Rorty 2.8l V6 engine paired with a slick 5-speed manual. Tilt and slide Sunroof, new aircon system, fog lamps, factory bi-plane spoiler.","Accessories BBS 17"" Wheels.","Description Growing up with cars in the 1980s, this was one of the special performance cars. The Sierra catches your attention with its spectacular appearance - the high-mounted ""whale tail"" rear wing, the aggressive bumpers and skirts, the extra intakes. These sporty features made the other contemporaries hopelessly civilized come test-drive this sporty RWD sierra V6 and re-live the memories.",Additional Imported Used Vehicle. Registered under Classic Vehicle Scheme.,"CategoryImported Used Vehicle, COE Car, Rare & Exotic, Vintage Cars"
Mercedes-Benz S-Class S320L,"$318,000","$33,050",10-Dec-2020,2020,"30,000 km (12.7k /yr)","$2,382 /yr",Auto,"$128,437","$87,882","$40,301","$130,188","2,996 cc",200.0 kW (268 bhp),"1,940 kg",1,Luxury Sedan,"Features 3.0L V6 Bi-turbo engine, 268bhp, 9G-tronic transmission, dynamic select. Paddle shift. Airmatic, navigation. View specs of the Mercedes-Benz S-Class (2013-2021)","Accessories Mb connect system. Keyless go. Widescreen cockpit. Apple CarPlay, Bluetooth, Burmester sound system. 360 degree camera. Ambient lighting. Soft close.",Description Brand new condition inside and out. 3 years C&C warranty valid till Dec 2023. 10 years engine warranty. Just completed full servicing with new tires etc. Fully serviced and maintained by C&C. No dealers o r consignment agent please.,"CategoryPARF Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Macan 2.0A PDK,"$230,000","$39,470",19-Dec-2017,2017,"32,200 km (6k /yr)","$1,194 /yr",Auto,"$90,464","$66,107","$57,501","$90,993","1,984 cc",185.0 kW (248 bhp),"1,845 kg",3,SUV,Features 2.0L turbo charged engine with 7 speed PDK transmission producing 248bhp and 370nm torque. 0-100 km/hr 6.7 seconds. View specs of the Porsche Macan (2014-2019),Accessories Keyless entry. Sports steering with gearshift paddle. 14 way power seats with memory. Bose sound system. All round sensors and reverse camera.,"Description Rare extended Stuttgart warranty! Drive in peace with dealership warranty for the next 2+ years. High option unit. Immaculate leather condition. Compass chrono added option. High PARF $90,000 unit. Original 20 inch RS Spyder rims. Vulkangrau metallic exterior paint. High loan available, trade in welcome. Prearranged viewing is required.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Rolls-Royce Wraith 6.6A,"$1,779,000",N.A.,N.A.,Auto,N.A.,"$8,004 /yr","$180,000",N.A.,NA,New 10-yr COE,NA,"6,592 cc",NA,N.A.,NA,Sports Car,"Features Powerful V12 twin turbo engine producing 623bhp, torque 800nm, 4.6s (0-100km/h), 8 speed auto transmission, all wheel drive.","Accessories 21"" rims, navigation system, multi function steering control, comfort entry system, star roof, all headrests come with RR monograms.","Description Powerful and luxurious dual tone exterior Rolls Royce 2 door Coupe. Electric tailgate, Bluetooth interface, multi-zone auto climate control aircon, hid headlight with LED daytime running light, reverse camera, both passenger and driver memory electric comfortable leather seats.",Additional Imported Used Vehicle. Comes with new 10-yr COE.,"CategoryImported Used Vehicle, COE Car, Rare & Exotic"
Toyota Dyna 150 2.8M,"$121,800","$12,990",31-Aug-2022,2022,N.A.,N.A.,Manual,"$45,434","$31,609","$48,461","$1,581","2,755 cc",1,"1,800 kg",1,Truck,Features View specs of the Toyota Dyna 150 Diesel (2014),NA,Description Almost new Toyota Dyna 150 2.8M with retractable canopy installed. 3 years warranty with Borneo Motors. Flexible loans available. Call now to arrange for a viewing!,CategoryAlmost New Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Nissan Kicks e-POWER Hybrid 1.2A Premium (OPC),N.A,N.A,30-Sep-2021,2021,N.A.,$272 /yr,Auto,N.A.,"$24,223","$31,000","$10,913","1,198 cc",95.0 kW (127 bhp),"1,330 kg",1,SUV,"Features 1.2l 3 cylinder inline engine, single speed reduction gear, ABS, SRS airbags, cruise control traction control, keyless entry/start, auto LED headlight View specs of the Nissan Kicks e-POWER Hybrid (2020)","Accessories Leather seats, Apple CarPlay/Android Auto, reverse cam, multi function steering wheel, electric folding mirrors, knockdown rear seats, auto door lock.",NA,"CategoryOPC Car, PARF Car, Premium Ad Car, Hybrid Cars",SOLD
Mercedes-Benz SL-Class SL350 (COE till 01/2033),N.A,N.A,24-Jan-2013,2012,N.A.,"$3,480 /yr",Auto,N.A.,"$119,058","$108,106","$119,058","3,498 cc",225.0 kW (301 bhp),"1,685 kg",3,Sports Car,Features View specs of the Mercedes-Benz SL-Class (2012-2019),Accessories No consignment dealers.,Description Rare SL350 latest facelift 2013 and full maintain by C&C. 1 ownership only due to transfer of car plate worth $500k above. Price negotiable to serious buyer and car paid with high COE. One of the best unit.,"CategoryCOE Car, Direct Owner Sale, Low Mileage Car",SOLD
BMW 2 Series 216i Gran Tourer Luxury,"$130,000","$16,270",17-Jan-2020,2019,"40,000 km (12.3k /yr)",$684 /yr,Auto,"$54,002","$34,427","$35,320","$40,198","1,499 cc",80.0 kW (107 bhp),"1,490 kg",2,MPV,Features Unique Brown Leather Interior On Black Exterior. View specs of the BMW 2 Series Gran Tourer (2018-2022),NA,Description Unit Comes With Free Servicing And Warranty From PML Till Jan 2025. Full Servicing Records To Prove From PML. Loan And Trade In Can Be Arranged. Contact Immediately!,"CategoryPARF Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Subaru Forester 2.0A XT Sunroof,N.A,N.A,02-Sep-2016,2016,N.A.,"$1,210 /yr",Auto,N.A.,"$20,010","$56,500","$20,014","1,998 cc",177.0 kW (237 bhp),"1,682 kg",2,SUV,Features 2L 4 cylinder 16 valve DOHC horizontally opposed turbocharged engine. Lineartronic CVT auto transmission producing 238bhp and 350nm of torque. View specs of the Subaru Forester (2013-2019),Accessories Sunroof. Bluetooth connectivity. Black leather electric driver and passenger seats. Keyless go. Auto start/stop. Auto headlights. Harmon Kardon.Amazin,Description Amazing boot space. Perfect for families! Trade in accepted. STA/workshop checks welcome. Flexible loan. Lowest interest rates in town! Competitive insurance rates! Call us today!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars"
Mitsubishi Fuso Canter FEB21,"$127,800","$12,830",31-Mar-2023,2022,N.A.,N.A.,Manual,"$50,776","$33,020","$51,000","$1,651","2,998 cc",1,"2,220 kg",1,Truck,Features View specs of the Mitsubishi Fuso Canter Diesel (2015),Accessories Front recording camera. Single din radio. Wooden deck. Reverse sensor. Optional canopy can be added and many more.,Description Mitsubishi Canter FEB21! Class 3 driving license can drive! Strong and powerful engine for heavy loading. Diesel efficiency and extremely easy & low on maintenance. Attractive warranty & servicing package! High loans with low interest rates! Trade in of vehicle are all welcome! Comes with lane keeping system & traction control for your safety. Contact us now to not miss this deal!,"CategoryAlmost New Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$29,500","$16,470",31-Jul-2014,2013,N.A.,"$1,048 /yr",Auto,"$17,208","$24,710","$62,890","$16,594","1,461 cc",81.0 kW (108 bhp),"1,522 kg",2,MPV,"Features 4 Cylinder Inline 16V Turbocharged 6 Speed Producing 108Bhp, Fuel Consumption At 22.7 Km/l. Front Wheel Drive With 4 Ventilated Disc! View specs of the Renault Grand Scenic Diesel (2012-2017)","Accessories Premium Leather, Sport Rims, Moonroof, Bluetooth, Solar Film, Electric Handbrakes, Rear Aircon, Keyless Entry/start/stop.","Description Careful Owner, Low Depreciation, Fuel Efficiency, Easy Financing, Flexible Loan Available, Accident Free, 6 Months Free Servicing By Reputable Workshop With 40 Years Experience In The Market For A Peace Of Mind, Call For Viewing/test Drive Now.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Renault Megane Sedan Diesel 1.5A dCi Sunroof,"$52,888","$13,290",31-Jan-2017,2016,"84,501 km (13.6k /yr)","$1,048 /yr",Auto,"$22,532","$19,990","$50,889","$5,000","1,461 cc",81.0 kW (108 bhp),"1,320 kg",2,Mid-Sized Sedan,"Features Carro Certified. 12 months engine and gearbox warranty, no major accidents, no mileage tampering and 5-day money back guarantee. View specs of the Renault Megane GT (2017-2020)",Accessories All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition the vehicle. Enquire to find out more!,"Description This Renault Megane is a diesel power machine paired with a dual clutch transmission is a spacious and stylish sedan with amazing handling. Its high torque makes its acceleration powerful yet comfortable. This sedan comes with a host of features such as a sunroof, auto climate control, keyless entry and ignition, which makes it a car that is value for money.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Vezel 1.5A S,N.A,N.A,06-Oct-2015,2015,N.A.,$682 /yr,Auto,N.A.,"$20,818","$58,700","$16,146","1,496 cc",96.0 kW (128 bhp),"1,210 kg",2,SUV,"Features 1.5L 4-cylinder DOHC i-VTEC engine, CVT auto transmission, SRS airbags, retractable side mirrors, ABS, keyless go. View specs of the Honda Vezel 2014 (2014)","Accessories Keyless entry/start auto LED headlamps, reverse camera, Bluetooth, auto brake hold, multi steering controls, auto retract side mirror.",Description Graceful white exterior matches elegant interior leather for the most fine combination! Tip top well maintenance by owner. Lowest depre in the market! 100% loan approval within 30 minutes with $0 downaway! Best condition ever! View to believed it for it authentical condition! Guaranteed no repairs needed! Solar film to ensure cooling interior to start your journey! Call us now to book a test drive,"CategoryPARF Car, Premium Ad Car",SOLD
BYD T3 Electric,"$125,800","$13,610",13-Jul-2022,2022,N.A.,N.A.,Auto,"$38,843","$23,078","$42,033","$1,154",N.A.,1,"1,620 kg",1,Van,"Features Motor warranty 5 years/200,000km, battery warranty 8 years/500,000km, servicing 4 years/8 free servicing. View specs of the BYD T3 Electric",NA,Description Grab it now with $30k CEVS rebate! Best selling model electric van in town. Flexible loan can be arranged. Call now.,"CategoryAlmost New Car, Premium Ad Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
