model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Nissan Navara NP300 Single-Cab 2.3M,"$58,800","$13,710",31-Jul-2017,2017,"39,454 km (6.9k /yr)",N.A.,Manual,"$17,242","$25,738","$40,212","$1,287","2,298 cc",2,"1,780 kg",2,Truck,Features View specs of the Nissan Navara (2015-2017),NA,Description BRAND NEW PAINTWORK! ADDITIONAL FREE ENGINE & GEARBOX WARRANTY COVERAGE! SUPER LOW MILEAGE! SUPER WELL MAINTAINED! CHECKERED PLATE WITH TOOL BOX READY! Trade In Welcome! Full Loan/Cash Welcome! Hurry Contact Us For Viewing Today!,"CategoryPremium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Jetta GP 1.4A TSI Highline,"$41,800","$12,680",18-Sep-2015,2015,"150,000 km (19.8k /yr)",$620 /yr,Auto,"$27,144","$21,568","$57,089","$22,196","1,390 cc",90.0 kW (120 bhp),"1,417 kg",2,Mid-Sized Sedan,Features Powerful and economical 1.4L TSI engine. 7 speed DSG gearbox. 6 airbags. ESP. ABS. Traction control. Fog lamps. View specs of the Volkswagen Jetta (2011-2017),"Accessories Premium black leather upholstery. Reverse sensors and camera. Oz sports rims, folding mirrors, factory fitted audio system, rear aircon.","Description Push Start Highline Unit, High OMV. Well maintained unit. Regular servicing done. Sporty red with High specs. Trade in welcome. Low bank interest rate available, contact us for more info!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 5 Series 530e Plug-in Hybrid iPerformance,"$178,000","$25,600",28-Sep-2018,2018,"52,000 km (11.4k /yr)","$1,210 /yr",Auto,"$74,699","$58,255","$32,000","$76,859","1,998 cc",185.0 kW (248 bhp),"1,770 kg",3,Luxury Sedan,"Features 1998cc (inline 4, turbocharged), combine 248bhp and 420nm torque, 0-100km 6.2s, top speed at 235km/h, charger included. View specs of the BMW 5 Series Plug-in Hybrid (2017-2022)","Accessories 360 surround cam, GPS navi, digital cockpit, adaptive headlights.",Description Agent PML warranty & service maintenance. 5 years warranty. Car is as good as new. Owner hardly driven. Genuine low mileage. 100% accident free. Flexible loan available and trade-ins are welcomed. Viewing by appointment. Call for appointment now.,"CategoryPARF Car, Premium Ad Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Dyna 150 2.8M,"$118,800","$11,930",31-Mar-2023,2022,N.A.,N.A.,Manual,"$55,246","$31,608","$55,474","$1,581","2,755 cc",1,"1,780 kg",1,Truck,Features View specs of the Toyota Dyna 150 Diesel (2014),NA,"Description Able to customize to your business needs! 3yrs or 100,000km Borneo warranty! 2 times free Borneo servicing! Able to register under personal or company name! Limited stocks available! Fast loan approval! High loan available! Highest trade-in for your vehicle! Lowest insurance quote available! Contact our sales team now!","CategoryAlmost New Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mazda 5 2.0A Sunroof,"$30,800","$16,190",13-Oct-2014,2014,"146,425 km (17.2k /yr)","$1,210 /yr",Auto,"$16,690","$18,333","$63,001","$13,333","1,998 cc",111.0 kW (148 bhp),"1,535 kg",2,MPV,"Features 2.0l responsive inline 4 cylinders DOHC SkyActiv-G engine, 6-speed auto, airbags, ABS, dsc, Sunroof, I-stop, Sunroof, rear aircon, knockdown rear seat View specs of the Mazda 5 (2012-2018)","Accessories Leather seat, sport rims, 2x power sliding doors, Pioneer DVD/rev camera/sensor, multi function steering, auto folding mirrors, rear aircon.","Description The ideal MPV selection! Practical and reliable 7 seater build-in with twin power door for convenience and quick access. Be it for your cargo space or family comfort, the Mazda 5 will definitely serve your purpose. Trade in welcome! Flexible bank/in house financing available with fast and easy loan approval! Hurry call now for viewing appointment. Thank you.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Vellfire 3.5A Z G-Edition Moonroof,"$121,800","$38,090",20-Oct-2015,2015,"64,000 km (8.5k /yr)","$3,100 /yr",Auto,"$46,518","$43,167","$60,001","$52,434","3,456 cc",206.0 kW (276 bhp),"2,090 kg",1,MPV,Features Powerful reliable 3.5L V6 dual VVT-I mated to 7 speed auto transmission.,"Accessories Full factory options, Moonroof, mickey mouse pilot seats, high end Alpine headunit, Pioneer TV tuner and etc.","Description Highest spec! 1 owner! Low mileage, accident free, trade in welcome, loan available at the lowest rate, call us today for a test drive.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Hyundai Santa Fe 2.7A (COE till 03/2029),"$59,900","$10,050",13-Apr-2009,2008,"143,000 km (10.2k /yr)","$2,775 /yr",Auto,"$19,675","$22,110","$33,018","$22,110","2,656 cc",139.3 kW (186 bhp),"1,921 kg",4,SUV,"Features Powerful smooth 2.7L V6 engine producing 186bhp, 183nm torque, 4 speed auto transmissions with Steptronic, esc with traction control system. View specs of the Hyundai Santa Fe (2002-2006)","Accessories Leather seats, sport rims, factory fitted audio system, 2nd/3rd row AC vents, reverse sensors, side mirror indicators, remote alarm system.",Description New Road Tax. Lowest priced/depreciation for a big size V6 engine SUV capable of 7 Seater adults comfortably MPV. Very well maintained interior and leather upholstery even at this age. Smooth engine/transmissions. Loan available for interested buyer. Consignment unit. ( viewing by appointment only),CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Isuzu NPR85,"$55,800","$17,120",21-Jul-2016,2016,N.A.,N.A.,Auto,N.A.,"$39,523","$18,952","$1,977","2,999 cc",2,"2,460 kg",2,Truck,Features View specs of the Isuzu N Series Diesel (2016),NA,"Description Freezer box with partition, Class 3 driving license, good vehicle condition, call for viewing.",Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Suzuki Jimny Sierra 1.5A JC,"$178,988","$18,980",28-Feb-2022,2021,652 km (0.6k /yr),$662 /yr,Auto,"$57,389","$20,923","$46,689","$21,293","1,460 cc",75.0 kW (100 bhp),"1,090 kg",1,SUV,Features Powered by a 1.5 inline 4 engine producing 100hp with 130nm torque. Paired to an at gearbox. View specs of the Suzuki Jimny,"Accessories 16"" little g wheels, auto leveling LED lights. Leather wrapped steering wheel. 50:50 split rear folding seats, keyless entry, keyless start.",Description High and flexible loan available. Trade in welcome. Call now for more information!,"CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Niro Hybrid 1.6A EX GDi DCT,"$105,800","$14,190",06-Feb-2020,2019,"39,838 km (12.5k /yr)",$732 /yr,Auto,"$37,615","$25,971","$35,010","$18,360","1,580 cc",96.7 kW (129 bhp),"1,425 kg",1,SUV,"Features Powered By Kappa 1.6 Gdi Mated With Hybrid Battery, 6 Speed DCT, Auto Headlight, Cruise Control, Lane Assist.","Accessories Multmedia Headunit W/ Wireless Apple CarPlay & Android Auto, Keyless Entry, Parking Reverse Camera, Knockdown Rear Seats.",Description New Arrival! 1 Owner! Sporty SUV! Low Mileage Done! Pristine Condition! Accident Free! Good Fuel Efficiency Of More Than 23km/l! C&C Agent Serviced! On Going C&C Warranty Till 5th Feb 2025! 10 Years C&C Engine Warranty! Comes With Nice Bidding Number! High Trade In! Make Appointment With Us And View!,"CategoryPARF Car, Premium Ad Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 5 Series 523i (COE till 05/2030),"$91,800","$12,910",27-May-2010,2010,"169,000 km (13.1k /yr)","$2,335 /yr",Auto,"$23,875","$39,405","$33,568","$39,405","2,497 cc",150.0 kW (201 bhp),"1,650 kg",4,Luxury Sedan,"Features Powerful 2.5l inline 6 cylinders engine, 8 speed automatic transmission, keyless entry/start, airbags, ABS, auto LED headlights, dual zone climate. View specs of the BMW 523i","Accessories Upgraded rims/PS4 tyres, front electric seats, rear aircon, BMW infotainment system, Bluetooth, multi-function steering, electric tailgate.","Description Latest arrival! Beautiful pearl white on beige upholstery, smooth and powerful engine, very spacious cabin/boot, all wear and tear replaced with receipts, excellent condition all round, no repair needed! Genuine and transparent dealing backed by positive reviews, buy with assurance! 100% loan available, trade in welcome. Contact us for a viewing today!",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Fit 1.3A,"$105,800","$11,560",22-Mar-2022,2021,"6,000 km (5.6k /yr)",$578 /yr,Auto,"$60,036","$16,131","$63,000","$5,000","1,317 cc",72.0 kW (96 bhp),"1,070 kg",1,Hatchback,"Features Airbags, 4 cylinder inline DOHC i-VTEC engine, CVT, knockdown rear seats, electric park brake, brake hold, keyless and auto headlight. View specs of the Honda Fit","Accessories Pioneer player with Bluetooth/USB, keyless start/stop/entry, car mat.","Description As good as brand new but huge savings from brand new! Newest facelift and upgraded interior. One of the most practical and reliable Hatchbacks in the market, with a fuel efficient yet powerful 1.3 litre Engine for daily usage! Welcome all trade in. Attractive interest rate! Contact us for viewing now!","CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi Q2 1.4A TFSI CoD S-tronic,"$99,800","$15,230",13-Dec-2018,2018,"63,000 km (14.5k /yr)",$624 /yr,Auto,"$37,976","$25,170","$31,001","$27,238","1,395 cc",110.0 kW (147 bhp),"1,355 kg",3,SUV,"Features 147bhp 1.4L 4 cylinders inline turbocharged TFSI engine, 250nm torque mated to 7 speed S-tronic gearbox, cruise control, keyless entry/start. View specs of the Audi Q2 (2017)","Accessories 18 inch Advanti sport rims, auto electric tailgate, dual climate aircon, front and rear recording cameras, rear reverse cameras.","Description Audi Agent Unit. 5 Years Agent Warranty. Fully Agent Serviced. Beautifully wrapped, super low genuine mileage, previous lady owner. Car have been checked, 100% no repairs needed. Super low consumption, sporty. Beautifully maintained. Call us for more info! Full loan/high loan welcome, trade ins welcome. Enquire for a quote. Do not miss this beautifully done up unit. Showroom unit. Call us to view","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Hyundai Elantra 1.6A GLS,"$72,800","$12,030",19-Nov-2018,2018,"84,306 km (19.1k /yr)",$738 /yr,Auto,"$24,025","$10,999","$28,199","$10,999","1,591 cc",93.8 kW (125 bhp),"1,345 kg",1,Mid-Sized Sedan,Features View specs of the Hyundai Elantra (2016-2018),NA,Description 2018 Hyundai Elantra. Well kept. Condition like new. Smooth engine. Fully maintained and serviced by agent unit with valid warranty till year Nov 2023.,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz B-Class B180 Urban,"$48,500","$18,560",28-May-2015,2015,"97,181 km (12.3k /yr)",$740 /yr,Auto,"$24,127","$26,137","$61,410","$18,592","1,595 cc",90.0 kW (120 bhp),"1,425 kg",3,Hatchback,"Features Powerful and responsive 1.6L turbocharged inline 4 cylinder engine, 7G-DCT auto transmission, SRS ABS, airbags etc. View specs of the Mercedes-Benz B-Class (2012-2019)","Accessories Full factory fitted accessories, fully leather with electrical and memory seat, reverse camera, etc.","Description Well maintain. By careful owner, low fuel consumption accident free no repair needed high trade in and loan available.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Carens Diesel 1.7A SX,N.A,N.A,12-Mar-2018,2018,N.A.,"$1,318 /yr",Auto,N.A.,"$21,466","$39,903","$22,053","1,685 cc",104.0 kW (139 bhp),"1,525 kg",2,MPV,"Features Powered by 1.7l 4 cylinder CRDI engine producing 140bhp, 7 speed DCT with eco mode, ABS, SRS airbags, auto headlamps, fog lamps, running day lamp etc. View specs of the Kia Carens Diesel (2016-2018)","Accessories Upgraded audio system with Bluetooth, reverse camera, all round sensors, multi steering control, cruise control, ventilated seats.",Description 12 months warranty! Affordable 7 seater with great fuel efficiency! In house financing available! High trade in value for your car! Gorgeous white paintwork with black leather interior. Come view the car at our showroom today!,"CategoryPARF Car, Premium Ad Car",SOLD
Toyota Vios 1.5A E (COE till 09/2024),"$17,800","$12,210",15-Dec-2009,2009,"135,258 km (10.1k /yr)",$958 /yr,Auto,"$4,298","$12,717","$14,743","$12,717","1,497 cc",80.0 kW (107 bhp),"1,095 kg",5,Mid-Sized Sedan,"Features 1.5L VVT-I 16 valve inline DOHC engine, 107bhp, 5 speed auto transmission, low fuel consumption at 14km/l, ABS, EBD, airbags. View specs of the Toyota Vios (2007-2013)","Accessories Original leather seats, sports rims, reverse sensors.retractable side mirrors, knockdown rear seats.","Description Well-maintained and is in excellent condition. This reliable sedan has a clean interior and exterior, no funny noise. Making it a great option for anyone in the market for a used car. With its fuel efficiency, it's perfect for daily commutes or road trip. The Vios has a spacious cabin, comfortable seats, and a smooth ride, making it a pleasure to drive. This car is definitely a reliable companion",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz C-Class C180 CGI (COE till 08/2032),"$101,888","$10,860",12-Dec-2012,2012,"117,000 km (11.3k /yr)",$814 /yr,Auto,"$69,511","$30,160","$74,099","$30,160","1,595 cc",115.0 kW (154 bhp),"1,485 kg",2,Luxury Sedan,"Features 1.6L inline 4 supercharged engine at 154bhp, 5 speed auto transmission, cruise control, auto headlights, multi function steering. View specs of the Mercedes-Benz C-Class Saloon","Accessories Factory fitted audio system, CD changer/player, Bluetooth, full leather electric seats, reverse sensors, auto retractable mirrors.",Description Low mileage.100% accident free with no mishaps with no additional wear and tear issues. Clean and neat non-smoking grey leather interior. Very well kept condition. Various loan options available. Trade in welcome. Call us now for a viewing.,CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Macan Turbo 3.6A PDK,"$191,800","$92,320",07-Jul-2014,2014,"64,700 km (7.4k /yr)","$3,330 /yr",Auto,"$96,052","$103,319","$75,010","$157,975","3,604 cc",294.0 kW (394 bhp),"2,000 kg",4,SUV,"Features 3.6L twin turbo V6 engine, 7 speed PDK transmission producing 394bhp and 550nm of torque. View specs of the Porsche Macan (2014-2019)","Accessories Sports chrono package, Porsche design wheels, sound system, navigation, memory seats and more.","Description Full agent maintained, agent warranty till 06/2022. Extension of agent warranty available. Financing and trade in available.","CategoryPARF Car, Direct Owner Sale, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
MINI Cooper 1.5A 5DR Seven Edition,"$76,800","$18,540",22-Dec-2016,2016,"67,300 km (10.6k /yr)",$684 /yr,Auto,"$29,930","$25,066","$51,109","$17,093","1,499 cc",100.0 kW (134 bhp),"1,175 kg",1,Hatchback,"Features MIniCooper 134bhp 220nm Turbocharged Engine, 6-Speed, Keyless Entry, 3 Modes Drive Select, Cruise Control. View specs of the MINI Cooper (2014-2017) View specs of the MINI Cooper 5-Door (2015-2017)","Accessories SEVEN Special Edition: Bonnet Stripes, Door Sills, Side Scuttles, Grey Roof & Mirror Caps, MINI visual boost LCD screen, Multi Function Steering Wheel","Description 1 Owner, Full Records & Maintenance with MiniHabitat. British Racing Green With Carbon Grey Leather Interior Combination, Do Drop By Our OC Showroom for Viewing On This Stunning MiniCooper - SEVEN Special Edition. Flexible High In-house Loan Available. Another Pristine Preowned Vehicle From Orchard Credit.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW X3 sDrive20i,"$167,500","$23,070",25-Jun-2019,2019,N.A.,"$1,210 /yr",Auto,"$61,557","$40,922","$42,002","$49,291","1,998 cc",135.0 kW (181 bhp),"1,660 kg",2,SUV,"Features Airbags,ABS, Powerful 2.0L 4 Cylinder Inline Twin Power Turbocharged Engine, 8 Speed Auto, Cruise Control, Keyless Comfort Access, Auto Start/Stop. View specs of the BMW X3","Accessories BMW Touch Screen, i-Drive, GPS, Bluetooth, Electric Tailgate, Front and Rear Park Assist.","Description Elegant Blue SUV, Agent Unit, Fully Serviced and Maintained By Agent, Agent Warranty Till Jun 2024, This is Not a Rental/Limousine Unit, Genuine Low Mileage Done, Accident Free, Easy Financing, Flexible In-House Loan Packages Available.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Opel Insignia Grandsport Diesel 1.6A Turbo,"$88,800","$12,730",25-Feb-2019,2019,N.A.,"$1,182 /yr",Auto,"$40,105","$25,930","$32,200","$28,302","1,598 cc",100.0 kW (134 bhp),"1,492 kg",1,Luxury Sedan,Features 1.6L twin cam turbo diesel. 6speed automatic. 134BHP 320NM torque. Traction control.Traction control.6 airbags.keyless entry with push start View specs of the Opel Insignia Grand Sport Diesel (2017-2022),Accessories Lane departure warning.anti collision auto braking.rear and side impact warning.touch screen media with Bluetooth.park assist with camera and more,Description 1 owner only. Powerful high torque and highly fuel efficient turbo with up to 1000km per tank. Car inspected by workshop with clean leak free engine. Undercarriage is close to flawless. Well kept luxurious spacious interior. Lots of high tech safety features. A highly underrated car. 1 year warranty and servicing package provided. Flexible financing. High loan/trade in/scrap welcome,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Yaris Cross 1.5A G,"$136,800","$13,550",31-Jan-2023,2021,120 km,$680 /yr,Auto,"$83,309","$22,152","$78,899","$8,013","1,490 cc",88.0 kW (118 bhp),"1,120 kg",1,SUV,"Features Airbags, ABS, reliable 1.5L petrol engine, CVT auto transmission, cruise control, keyless entry, Toyota sensing. View specs of the Toyota Yaris","Accessories Sports rims, multimedia display with CarPlay, LED DRL, Toyota Safety Sense, auto high beam, auto air conditioner, 4:2:4 split foldable rear seats.","Description The All-New Toyota Yaris Cross! Leather seat provided. Lowest interest rate in the market, warranty provided with assurance! In house and bank loan available! $0 driveaway available! 100% no hidden cost! Guarantee buy back with market price! Drive with excellence with 5 star reviews! Contact our sales consultant now! Act fast before it's gone!","CategoryPARF Car, Almost New Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz GLC-Class GLC250 AMG Line 4MATIC,"$172,800","$25,940",23-Aug-2018,2018,"52,500 km (11.3k /yr)","$1,202 /yr",Auto,"$67,466","$53,256","$31,001","$67,861","1,991 cc",155.0 kW (207 bhp),"1,735 kg",2,SUV,"Features 2.0l 4 cylinders inline turbocharged engine, 207bhp, 350nm, all wheel drive, 9g-tronic (a) transmission, keyless go, cruise/steering control, 4MATIC.","Accessories 20"" spoke rims. Android media/Bluetooth interface, reverse camera, parking assistance, 2x memory seats, electric tailgate, handsfree boot access.","Description The Mercedes GLC SUV is most certainly wearing a badge of desire, be inspire to own this unit, immaculate condition, sunroof,expensive goodies newly Breyton rims and brake kits, ceramic coating and many more, just service done with proof, definite zero mishap, high ARF, STA most welcome, we offer flexible loan and high trade in available, call us now for serious viewing appointment.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Hiace 3.0A DX,"$52,800","$13,380",28-Mar-2017,2016,"133,000 km (22k /yr)",N.A.,Auto,"$16,727","$34,323","$42,399","$1,717","2,982 cc",4,"1,780 kg",4,Van,Features View specs of the Toyota Hiace,"Accessories Newly upgraded 7"" Android player with reverse camera.",Description Exclusive premium warranty provided with purchase. New coat of paintwork. Original manufacturer upholstery. Carpeted floorboard. Low mileage done. Massive cabin space for maximum load. Flexible finance scheme with speedy process. Trade in options available. Full cash welcomed. Please contact our friendly sales representative to arrange for a viewing appointment today!,CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 318i,"$63,900","$17,810",27-Feb-2016,2015,"103,000 km (14.4k /yr)",$684 /yr,Auto,"$28,336","$27,677","$45,009","$25,748","1,499 cc",100.0 kW (134 bhp),"1,425 kg",3,Luxury Sedan,Features View specs of the BMW 318i,Accessories Upgraded To Apple/android Carplay Unit. Interior Wrapped With Carbon In Feb 2023. Side Mirror And Front Grille Changed To Sporty Look In March 2023.,Description Very Well Maintained By Me. Excellent Interior And Exterior Condition. Spent $5k In November 2022 To Repair All Wear And Tear Parts. Just Went For Full Servicing In March 2023. Can Send To Workshop Again Before Handover For A Piece Of Mind. Loan Can Be Arranged And Up To 100% Are Available Too.,"CategoryPARF Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda N-Van Turbo Style Fun Honda Sensing,"$81,800","$8,650",28-Sep-2022,2022,N.A.,N.A.,Auto,"$40,820","$16,375","$43,174",$819,658 cc,1,960 kg,1,Van,"Features Honda Sensing, eco mode, LED headlight, keyless entry, multi function steering, cruise control and retractable side mirrors. View specs of the Honda N-Van Petrol (2021)","Accessories Front and back camera, reverse camera, solar film, Pioneer audio system with Bluetooth, knockdown rear seats.","Description The most popular commercial van in town! Affordable, easy to drive and outstanding look! High trade in and flexible in house loan package available. Please call our friendly representatives for more information or for viewing.",CategoryAlmost New Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
