model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Mercedes-Benz Viano CDI (COE till 09/2027),"$88,000","$19,740",21-Nov-2012,2012,"206,227 km (19.8k /yr)",N.A.,Auto,"$24,523","$46,658","$27,507","$2,333","2,143 cc",2,"2,280 kg",2,Bus/Mini Bus,,,,,
Audi S4 3.0A TFSI Quattro S-tronic (COE till 08/2029),"$108,800","$17,060",06-Oct-2009,2009,"166,000 km (12.3k /yr)","$3,332 /yr",Auto,"$25,472","$62,346","$39,936","$62,346","2,995 cc",245.0 kW (328 bhp),"1,685 kg",More than 6,Sports Car,"Features Powerful 3.0L V6 supercharged engine producing 328bhp, 7 speed S-tronic with paddle shifters. View specs of the Audi S4 (2009-2015)","Accessories Upgraded head unit, leather seats rewrapped, carbon multi function steering, keyless start/stop.",Description Unit super well taken care by current owner! Mostly all wear and tear done up over $10k worth of parts! Don't miss out this crazy and healthy unit. Regularly serviced and maintained by owner. Flexible financing available here to meet your needs! For full mods list pm us now!,"CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Hiace 3.0M,"$85,800","$11,050",19-Jan-2021,2020,N.A.,N.A.,Manual,"$19,602","$28,235","$25,255","$1,412","2,982 cc",1,"1,700 kg",1,Van,Features View specs of the Toyota Hiace,"Accessories Fitted with front camera, wooden back board, IU, swd, reverse sensor, in-build reverse camera.",Description Look like brand new! Best condition workhorse you can find in the market. Original state with zero accident or damage. Real unit real price. Do not hesitate to contact us for test drive today before it is gone!,CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Fiat Doblo 1.3M Multijet Glaze,"$59,800","$7,760",29-Dec-2020,2020,"29,000 km (12.6k /yr)",N.A.,Manual,"$18,712","$18,418","$24,288",$921,"1,248 cc",1,"1,360 kg",1,Van,Features View specs of the Fiat Professional Doblo Cargo Diesel (2014-2021),NA,"Description One Owner, We Provide Doorstep Viewing, Well Kept Condition, High Loan And Trade In Available, Call For Viewing And Test Drive, See To Believe!",Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz EQA250+ Electric AMG Line Premium,"$282,988","$27,390",10-Feb-2023,2022,38 km,"$1,736 /yr",Auto,"$111,445","$55,956","$116,577","$27,721",N.A.,140.0 kW (187 bhp),"2,045 kg",1,SUV,"Features Powered by asynchronous motor producing 190bhp and 375nm torque, single speed auto transmission, 523km range, recuperation mode. View specs of the Mercedes-Benz EQA Electric (2021)","Accessories AMG kits, auto LED light with high beam assist, ambient lights, wide screen touch screen cockpit with Bluetooth interface, carplay/Android Auto.","Description Most affordable electric compact SUV by Mercedes Benz, say goodbye to engine servicing and oil leakage, charge and drive is what you need to do. Supported by TTS in-house workshop warranty, flexible finance arrangement and low interest rate, trade in your petrol car and start your ev journey without paying for expensive petrol price now!","CategoryPARF Car, Almost New Car, Low Mileage Car, Electric Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Vios 1.5A E (COE till 06/2023),"$3,388",N.A.,30-Jun-2008,2008,"236,000 km (15.9k /yr)","$1,026 /yr",Auto,$764,"$12,344","$19,107","$12,344","1,497 cc",80.0 kW (107 bhp),"1,095 kg",1,Mid-Sized Sedan,"Features No admin fees, No hidden costs! Only pay extra LTA transfer fee $25! We welcome enquiries from anyone, including car dealers & car rental companies! View specs of the Toyota Vios (2007-2013)",Accessories 1 Owner! Well maintained! Leather Seats good condition! Rd tax till COE expiry! Engine & Gearbox good! Aircon cold! Tyres good! Folding side mirrors!,"Description No Admin fees! 1 Owner! Good condition! Pay $3,388 & we'll buy back from you at $800 abt 2 months & 2 weeks later! So depreciation only $1,035 per month! (i.e. $3,388 less $800 = $2588, then divided by 2.5 months). Comes with 2 keys & 2 remote! Serviced regularly by previous owner! Fuel efficient car! Great for short term drive!",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo XC90 T5 Momentum,"$133,888","$27,290",21-Oct-2016,2016,"85,990 km (13.2k /yr)","$1,176 /yr",Auto,"$68,922","$57,802","$55,501","$76,044","1,969 cc",187.0 kW (250 bhp),"2,053 kg",1,SUV,"Features Volvo's 2L 250bhp 350nm turbocharged engine. 8 speed geartronic. Auto LED headlights with DRL, climate control & multi zone aircon, keyless entry. View specs of the Volvo XC90 (2015-2022)","Accessories Volvo's safety suite, 9"" touchscreen multimedia and control centre w/ Apple CarPlay, BT, navigation, parking cameras and sensors, knockdown rear seats","Description Only 1 owner, genuine low mileage! Inclusive of number plate - 600! Fully maintained by agent Wearnes, already did 90k servicing w/ front suspension replacement, new battery, etc. Owner selling due to relocation. Don't miss this! Hassle free trade in and flexible financing available!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 318i Shadow Edition,"$102,800","$16,690",29-Mar-2018,2017,"107,000 km (21.2k /yr)",$684 /yr,Auto,"$46,535","$34,502","$37,010","$40,303","1,499 cc",100.0 kW (134 bhp),"1,425 kg",1,Luxury Sedan,Features View specs of the BMW 318i,NA,NA,"CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Corolla Altis 1.6A Elegance,N.A,N.A,25-Jan-2019,2018,N.A.,$742 /yr,Auto,N.A.,"$21,858","$25,000","$22,602","1,598 cc",96.0 kW (128 bhp),"1,230 kg",1,Mid-Sized Sedan,"Features Reliable 1.6l 4 cylinders dual VVT-I engine, 120bhp, CVT automatic Steptronic, ABS, airbags, auto headlights/rain sensors, keyless entry/start/stop. View specs of the Toyota Corolla","Accessories Sports rims, leather seats, Toyota touch screen DVD/Bluetooth w/steering control, reverse cameras/sensors, solar film, retractable side mirrors.","Description 1 owner! Fully agent serviced. Best sedan ever produced with the best urban drive! We offer best trade-in value in town with rebate packages! Many attractive loan packages avail as well. Call now for an appointment, our qualified sales advisor will be pleased to serve you. Consignment unit. Viewings strictly by appt only.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",SOLD
Toyota Camry 2.5A,"$121,800","$15,810",04-Oct-2019,2019,"59,345 km (16.8k /yr)","$1,784 /yr",Auto,"$52,545","$33,579","$36,001","$39,011","2,487 cc",154.0 kW (206 bhp),"1,545 kg",2,Luxury Sedan,Features Original Condition. View specs of the Toyota Camry,Accessories Factory Fitted Interior.,"Description Where Space, Comfort And Reliability Matters! A Make And Model That Some How Never Goes Wrong. This Unit Is Fully Maintain By Agent (Borneo Motors) Supported By 5 Years Ongoing Warranty Till 03 Oct 2024 With 2 More Pre-paid Servicing To Go. Price Listed Are Final Inclusive Of GST. Auto Financing Option Available At Competitive Rates. STA Evaluation Friendly For Additional Peace Of Mind.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
